Date,Year,Month,Season,City,State,Country,Latitude,Longitude,Temperature_C,Temp_Max_C,Temp_Min_C,Feels_Like_C,Humidity_Pct,Humidity_Max_Pct,Humidity_Min_Pct,Precipitation_mm,Rainfall_mm,Wind_Speed_kmh,Wind_Direction_Deg,Weather_Code,Weather_Condition,Battery_Impact_Score
2020-01-17,2020,1,Winter,New York,NY,US,40.71,-74.01,-3.0,0.9,-5.3,-10.2,43.0,56,30,0.0,0.0,34.9,327,3,Overcast,0.04
2020-01-18,2020,1,Winter,New York,NY,US,40.71,-74.01,-3.1,2.5,-6.2,-8.0,66.5,95,38,8.4,0.6,24.2,206,75,Heavy Snow,0.0413
2020-01-19,2020,1,Winter,New York,NY,US,40.71,-74.01,2.9,7.2,-1.2,-2.4,67.0,96,38,1.5,1.5,28.7,280,53,Moderate Drizzle,0.0
2020-01-20,2020,1,Winter,New York,NY,US,40.71,-74.01,-3.9,-0.8,-7.1,-10.3,44.0,59,29,0.0,0.0,26.1,330,3,Overcast,0.052
2020-01-21,2020,1,Winter,New York,NY,US,40.71,-74.01,-3.4,1.3,-6.6,-8.3,47.5,69,26,0.0,0.0,17.4,328,3,Overcast,0.0453
2020-01-22,2020,1,Winter,New York,NY,US,40.71,-74.01,-2.2,3.0,-5.3,-6.2,60.5,86,35,0.0,0.0,9.4,260,2,Partly Cloudy,0.0293
2020-01-23,2020,1,Winter,New York,NY,US,40.71,-74.01,0.1,7.1,-4.4,-3.9,57.0,89,25,0.0,0.0,9.9,240,3,Overcast,0.0
2020-01-24,2020,1,Winter,New York,NY,US,40.71,-74.01,2.9,9.7,-2.7,-0.7,67.5,88,47,0.0,0.0,12.7,72,3,Overcast,0.0
2020-01-25,2020,1,Winter,New York,NY,US,40.71,-74.01,5.1,9.8,1.0,0.6,86.0,100,72,25.5,25.5,34.2,85,63,Moderate Rain,0.05
2020-01-26,2020,1,Winter,New York,NY,US,40.71,-74.01,4.0,8.0,0.9,-0.3,72.0,96,48,0.0,0.0,22.7,263,3,Overcast,0.0
2020-01-27,2020,1,Winter,New York,NY,US,40.71,-74.01,3.3,7.4,-0.4,-1.3,68.0,86,50,0.0,0.0,22.3,255,3,Overcast,0.0
2020-01-28,2020,1,Winter,New York,NY,US,40.71,-74.01,3.0,5.5,-0.4,-2.1,66.5,82,51,0.0,0.0,22.4,308,3,Overcast,0.0
2020-01-29,2020,1,Winter,New York,NY,US,40.71,-74.01,0.7,4.5,-2.3,-4.3,59.0,78,40,0.0,0.0,19.0,333,3,Overcast,0.0
2020-01-30,2020,1,Winter,New York,NY,US,40.71,-74.01,-1.9,1.4,-5.5,-6.2,70.5,90,51,0.0,0.0,16.3,22,3,Overcast,0.0253
2020-01-31,2020,1,Winter,New York,NY,US,40.71,-74.01,2.2,6.5,-2.7,-0.9,80.5,96,65,1.0,1.0,11.9,83,53,Moderate Drizzle,0.0
2020-02-01,2020,2,Winter,New York,NY,US,40.71,-74.01,2.6,5.7,-0.8,0.1,89.0,99,79,0.4,0.4,6.6,359,51,Light Drizzle,0.0
2020-02-02,2020,2,Winter,New York,NY,US,40.71,-74.01,2.8,6.2,0.5,-0.9,74.5,100,49,3.2,2.3,20.3,271,73,Moderate Snow,0.0
2020-02-03,2020,2,Winter,New York,NY,US,40.71,-74.01,5.8,12.5,0.2,2.4,73.0,100,46,0.5,0.4,18.5,245,71,Light Snow,0.0
2020-02-04,2020,2,Winter,New York,NY,US,40.71,-74.01,7.1,13.2,2.8,4.7,88.5,97,80,2.3,2.3,17.6,255,53,Moderate Drizzle,0.0
2020-02-05,2020,2,Winter,New York,NY,US,40.71,-74.01,5.0,9.2,3.5,1.2,70.0,97,43,0.8,0.8,21.3,10,51,Light Drizzle,0.0
2020-02-06,2020,2,Winter,New York,NY,US,40.71,-74.01,4.4,6.6,2.2,1.4,80.0,99,61,16.1,16.1,19.1,62,63,Moderate Rain,0.05
2020-02-07,2020,2,Winter,New York,NY,US,40.71,-74.01,5.1,14.1,1.0,0.3,75.5,99,52,10.2,9.6,46.6,267,73,Moderate Snow,0.0
2020-02-08,2020,2,Winter,New York,NY,US,40.71,-74.01,1.0,4.9,-2.3,-4.6,59.5,81,38,0.0,0.0,26.2,272,3,Overcast,0.0
2020-02-09,2020,2,Winter,New York,NY,US,40.71,-74.01,1.4,6.7,-2.1,-2.0,78.0,95,61,0.0,0.0,13.2,51,3,Overcast,0.0
2020-02-10,2020,2,Winter,New York,NY,US,40.71,-74.01,5.6,9.0,2.9,1.6,84.5,98,71,9.8,9.8,25.5,211,61,Light Rain,0.0
2020-02-11,2020,2,Winter,New York,NY,US,40.71,-74.01,6.3,7.7,4.9,4.1,90.0,100,80,9.1,9.1,16.3,336,61,Light Rain,0.0
2020-02-12,2020,2,Winter,New York,NY,US,40.71,-74.01,4.4,7.3,1.0,-0.1,62.5,82,43,0.3,0.3,23.3,263,51,Light Drizzle,0.0
2020-02-13,2020,2,Winter,New York,NY,US,40.71,-74.01,4.3,6.6,2.3,1.3,87.0,98,76,19.6,19.6,21.4,288,61,Light Rain,0.05
2020-02-14,2020,2,Winter,New York,NY,US,40.71,-74.01,-1.0,3.1,-6.8,-7.2,55.0,83,27,0.0,0.0,27.2,319,3,Overcast,0.0133
2020-02-15,2020,2,Winter,New York,NY,US,40.71,-74.01,-5.5,-1.6,-9.2,-10.7,56.5,75,38,0.0,0.0,20.9,190,3,Overcast,0.0733
2020-02-16,2020,2,Winter,New York,NY,US,40.71,-74.01,1.6,7.8,-3.1,-2.9,64.5,78,51,0.0,0.0,16.8,225,3,Overcast,0.0
2020-02-17,2020,2,Winter,New York,NY,US,40.71,-74.01,3.7,9.9,-1.1,0.1,64.5,87,42,0.0,0.0,15.3,328,3,Overcast,0.0
2020-02-18,2020,2,Winter,New York,NY,US,40.71,-74.01,4.5,9.4,0.6,1.0,83.0,99,67,1.3,1.3,17.7,82,51,Light Drizzle,0.0
2020-02-19,2020,2,Winter,New York,NY,US,40.71,-74.01,4.9,8.1,-0.5,0.1,64.0,94,34,0.0,0.0,24.7,309,3,Overcast,0.0
2020-02-20,2020,2,Winter,New York,NY,US,40.71,-74.01,-0.3,3.3,-3.2,-5.1,54.5,73,36,0.0,0.0,19.4,319,3,Overcast,0.004
2020-02-21,2020,2,Winter,New York,NY,US,40.71,-74.01,-2.6,1.9,-6.4,-7.8,44.0,59,29,0.0,0.0,19.4,332,0,Clear Sky,0.0347
2020-02-22,2020,2,Winter,New York,NY,US,40.71,-74.01,1.8,8.9,-3.5,-3.4,44.5,58,31,0.0,0.0,22.0,249,1,Mainly Clear,0.0
2020-02-23,2020,2,Winter,New York,NY,US,40.71,-74.01,4.3,12.0,-2.7,-0.3,49.5,71,28,0.0,0.0,18.2,241,1,Mainly Clear,0.0
2020-02-24,2020,2,Winter,New York,NY,US,40.71,-74.01,5.4,13.0,-1.3,1.9,60.0,86,34,0.0,0.0,14.8,194,3,Overcast,0.0
2020-02-25,2020,2,Winter,New York,NY,US,40.71,-74.01,7.4,10.1,4.6,5.2,84.5,99,70,2.7,2.7,11.8,191,61,Light Rain,0.0
2020-02-26,2020,2,Winter,New York,NY,US,40.71,-74.01,7.3,10.4,5.5,4.7,88.5,100,77,0.1,0.1,20.9,74,51,Light Drizzle,0.0
2020-02-27,2020,2,Winter,New York,NY,US,40.71,-74.01,4.4,8.7,-0.9,-2.4,65.0,98,32,12.1,12.1,39.9,263,63,Moderate Rain,0.05
2020-02-28,2020,2,Winter,New York,NY,US,40.71,-74.01,0.6,5.0,-2.6,-6.0,42.0,58,26,0.0,0.0,34.8,256,3,Overcast,0.0
2020-02-29,2020,2,Winter,New York,NY,US,40.71,-74.01,-1.1,2.6,-3.9,-7.3,45.0,58,32,0.0,0.0,30.5,283,3,Overcast,0.0147
2020-03-01,2020,3,Spring,New York,NY,US,40.71,-74.01,0.1,6.9,-4.6,-5.3,55.5,77,34,0.0,0.0,22.7,292,2,Partly Cloudy,0.0
2020-03-02,2020,3,Spring,New York,NY,US,40.71,-74.01,6.4,13.6,-1.4,2.2,64.0,85,43,0.0,0.0,29.2,199,3,Overcast,0.0
2020-03-03,2020,3,Spring,New York,NY,US,40.71,-74.01,9.5,13.6,6.6,6.7,77.5,99,56,6.6,6.6,25.5,199,61,Light Rain,0.0
2020-03-04,2020,3,Spring,New York,NY,US,40.71,-74.01,8.8,13.2,5.2,3.2,55.0,82,28,3.3,3.3,34.3,271,63,Moderate Rain,0.0
2020-03-05,2020,3,Spring,New York,NY,US,40.71,-74.01,5.4,10.6,1.4,1.4,62.5,90,35,0.0,0.0,19.7,288,3,Overcast,0.0
2020-03-06,2020,3,Spring,New York,NY,US,40.71,-74.01,4.1,7.2,0.4,0.4,80.5,95,66,4.2,4.2,21.4,46,53,Moderate Drizzle,0.0
2020-03-07,2020,3,Spring,New York,NY,US,40.71,-74.01,3.9,8.4,1.2,-1.7,56.5,92,21,0.5,0.5,28.0,340,51,Light Drizzle,0.0
2020-03-08,2020,3,Spring,New York,NY,US,40.71,-74.01,5.5,13.9,-2.4,0.9,49.0,69,29,0.0,0.0,21.3,256,2,Partly Cloudy,0.0
2020-03-09,2020,3,Spring,New York,NY,US,40.71,-74.01,11.4,20.2,3.7,6.8,48.0,65,31,0.0,0.0,21.4,230,3,Overcast,0.0
2020-03-10,2020,3,Spring,New York,NY,US,40.71,-74.01,12.5,16.0,8.6,8.9,68.0,87,49,0.3,0.3,28.0,228,51,Light Drizzle,0.0
2020-03-11,2020,3,Spring,New York,NY,US,40.71,-74.01,8.4,12.7,2.8,5.2,64.0,88,40,0.0,0.0,26.4,332,3,Overcast,0.0
2020-03-12,2020,3,Spring,New York,NY,US,40.71,-74.01,5.9,9.1,1.9,2.7,79.5,91,68,0.7,0.7,18.4,95,51,Light Drizzle,0.0
2020-03-13,2020,3,Spring,New York,NY,US,40.71,-74.01,12.7,19.8,7.1,8.6,63.5,98,29,10.6,10.6,35.3,224,61,Light Rain,0.05
2020-03-14,2020,3,Spring,New York,NY,US,40.71,-74.01,8.4,12.6,4.0,3.4,43.5,52,35,0.1,0.1,22.7,306,51,Light Drizzle,0.0
2020-03-15,2020,3,Spring,New York,NY,US,40.71,-74.01,6.9,11.4,2.5,3.1,53.0,77,29,0.3,0.3,13.6,3,51,Light Drizzle,0.0
2020-03-16,2020,3,Spring,New York,NY,US,40.71,-74.01,3.0,6.7,-1.7,-1.9,56.5,71,42,0.0,0.0,22.3,80,3,Overcast,0.0
2020-03-17,2020,3,Spring,New York,NY,US,40.71,-74.01,7.0,12.2,3.8,4.1,80.5,97,64,6.2,5.2,19.1,213,73,Moderate Snow,0.0
2020-03-18,2020,3,Spring,New York,NY,US,40.71,-74.01,6.3,10.2,0.8,2.6,64.0,84,44,0.0,0.0,18.7,176,3,Overcast,0.0
2020-03-19,2020,3,Spring,New York,NY,US,40.71,-74.01,8.4,12.6,4.8,5.7,82.5,95,70,17.9,17.9,20.9,67,63,Moderate Rain,0.05
2020-03-20,2020,3,Spring,New York,NY,US,40.71,-74.01,14.7,23.7,7.0,12.4,72.0,96,48,3.8,3.8,36.7,224,61,Light Rain,0.0
2020-03-21,2020,3,Spring,New York,NY,US,40.71,-74.01,8.5,17.2,4.4,3.7,43.5,59,28,0.0,0.0,26.4,352,3,Overcast,0.0
2020-03-22,2020,3,Spring,New York,NY,US,40.71,-74.01,2.6,6.1,-0.5,-2.8,54.5,69,40,0.0,0.0,21.9,58,3,Overcast,0.0
2020-03-23,2020,3,Spring,New York,NY,US,40.71,-74.01,3.0,5.4,2.2,-2.1,81.0,100,62,29.6,27.8,27.6,61,73,Moderate Snow,0.05
2020-03-24,2020,3,Spring,New York,NY,US,40.71,-74.01,6.6,14.2,0.8,3.0,66.5,94,39,0.0,0.0,21.2,345,3,Overcast,0.0
2020-03-25,2020,3,Spring,New York,NY,US,40.71,-74.01,5.3,8.0,3.0,0.9,75.0,85,65,0.5,0.5,26.7,54,51,Light Drizzle,0.0
2020-03-26,2020,3,Spring,New York,NY,US,40.71,-74.01,6.7,13.9,0.6,3.5,71.0,93,49,0.0,0.0,21.3,200,3,Overcast,0.0
2020-03-27,2020,3,Spring,New York,NY,US,40.71,-74.01,12.1,18.3,7.7,9.0,60.0,92,28,0.2,0.2,16.7,312,51,Light Drizzle,0.0
2020-03-28,2020,3,Spring,New York,NY,US,40.71,-74.01,7.9,10.1,5.7,4.7,77.0,97,57,15.4,15.4,17.6,60,63,Moderate Rain,0.05
2020-03-29,2020,3,Spring,New York,NY,US,40.71,-74.01,8.7,11.8,7.0,5.6,92.0,96,88,3.4,3.4,23.7,44,61,Light Rain,0.0
2020-03-30,2020,3,Spring,New York,NY,US,40.71,-74.01,7.7,11.9,4.2,5.5,84.0,97,71,5.0,5.0,13.8,101,61,Light Rain,0.0
2020-03-31,2020,3,Spring,New York,NY,US,40.71,-74.01,6.1,8.6,4.6,2.9,79.0,97,61,2.1,2.1,17.4,88,51,Light Drizzle,0.0
2020-04-01,2020,4,Spring,New York,NY,US,40.71,-74.01,7.0,12.7,2.6,2.9,58.0,83,33,0.0,0.0,19.1,24,3,Overcast,0.0
2020-04-02,2020,4,Spring,New York,NY,US,40.71,-74.01,8.4,13.7,2.7,2.2,52.5,68,37,0.0,0.0,34.5,326,3,Overcast,0.0
2020-04-03,2020,4,Spring,New York,NY,US,40.71,-74.01,8.4,10.4,5.9,3.3,68.0,91,45,9.2,8.7,29.8,343,73,Moderate Snow,0.0
2020-04-04,2020,4,Spring,New York,NY,US,40.71,-74.01,9.6,14.6,7.2,6.5,70.0,87,53,0.7,0.7,19.7,24,51,Light Drizzle,0.0
2020-04-05,2020,4,Spring,New York,NY,US,40.71,-74.01,10.2,16.1,5.7,8.3,80.5,97,64,0.0,0.0,17.6,176,3,Overcast,0.0
2020-04-06,2020,4,Spring,New York,NY,US,40.71,-74.01,11.9,17.6,7.6,9.1,60.5,94,27,1.4,1.4,17.4,330,53,Moderate Drizzle,0.0
2020-04-07,2020,4,Spring,New York,NY,US,40.71,-74.01,11.7,17.3,7.4,8.3,60.5,81,40,0.3,0.3,22.4,219,51,Light Drizzle,0.0
2020-04-08,2020,4,Spring,New York,NY,US,40.71,-74.01,13.0,19.1,8.7,11.0,72.0,97,47,5.6,5.6,18.2,324,63,Moderate Rain,0.0
2020-04-09,2020,4,Spring,New York,NY,US,40.71,-74.01,10.0,16.5,6.7,6.3,68.0,94,42,9.6,9.6,33.6,249,61,Light Rain,0.0
2020-04-10,2020,4,Spring,New York,NY,US,40.71,-74.01,6.4,9.3,3.6,-0.5,58.5,83,34,1.4,1.3,39.1,285,71,Light Snow,0.0
2020-04-11,2020,4,Spring,New York,NY,US,40.71,-74.01,6.9,11.4,2.3,1.3,45.5,65,26,0.0,0.0,28.7,284,3,Overcast,0.0
2020-04-12,2020,4,Spring,New York,NY,US,40.71,-74.01,9.6,15.6,2.3,6.0,64.0,86,42,0.0,0.0,28.8,161,3,Overcast,0.0
2020-04-13,2020,4,Spring,New York,NY,US,40.71,-74.01,15.0,18.9,12.3,10.8,72.0,94,50,41.5,41.5,50.9,192,63,Moderate Rain,0.1
2020-04-14,2020,4,Spring,New York,NY,US,40.71,-74.01,10.3,13.5,6.4,6.5,56.0,74,38,0.0,0.0,23.6,303,3,Overcast,0.0
2020-04-15,2020,4,Spring,New York,NY,US,40.71,-74.01,7.5,11.0,4.6,3.1,57.5,88,27,1.5,1.5,25.2,301,51,Light Drizzle,0.0
2020-04-16,2020,4,Spring,New York,NY,US,40.71,-74.01,6.4,9.1,3.5,0.8,49.0,70,28,0.2,0.2,27.9,287,51,Light Drizzle,0.0
2020-04-17,2020,4,Spring,New York,NY,US,40.71,-74.01,5.0,10.4,-0.4,0.9,62.5,93,32,1.7,1.7,21.1,259,53,Moderate Drizzle,0.0
2020-04-18,2020,4,Spring,New York,NY,US,40.71,-74.01,6.4,8.8,4.0,2.8,74.0,96,52,8.1,8.1,26.1,356,55,Heavy Drizzle,0.0
2020-04-19,2020,4,Spring,New York,NY,US,40.71,-74.01,8.8,15.6,1.7,4.2,59.0,78,40,0.0,0.0,31.6,233,3,Overcast,0.0
2020-04-20,2020,4,Spring,New York,NY,US,40.71,-74.01,9.4,12.0,6.1,5.5,58.0,78,38,0.0,0.0,21.5,354,3,Overcast,0.0
2020-04-21,2020,4,Spring,New York,NY,US,40.71,-74.01,9.0,15.7,5.0,5.0,64.5,88,41,6.9,6.9,27.8,240,63,Moderate Rain,0.0
2020-04-22,2020,4,Spring,New York,NY,US,40.71,-74.01,5.2,9.7,0.9,-1.0,46.5,65,28,0.0,0.0,31.7,293,3,Overcast,0.0
2020-04-23,2020,4,Spring,New York,NY,US,40.71,-74.01,5.6,10.0,1.0,2.1,59.0,77,41,0.3,0.3,15.1,182,51,Light Drizzle,0.0
2020-04-24,2020,4,Spring,New York,NY,US,40.71,-74.01,7.3,9.1,5.0,3.9,90.0,97,83,15.6,15.6,25.7,26,63,Moderate Rain,0.05
2020-04-25,2020,4,Spring,New York,NY,US,40.71,-74.01,9.5,16.8,3.0,6.9,71.0,97,45,0.0,0.0,18.1,163,3,Overcast,0.0
2020-04-26,2020,4,Spring,New York,NY,US,40.71,-74.01,8.0,9.7,6.2,4.0,81.0,94,68,8.8,8.8,36.7,48,55,Heavy Drizzle,0.0
2020-04-27,2020,4,Spring,New York,NY,US,40.71,-74.01,6.3,8.4,4.5,1.5,77.5,90,65,1.4,1.4,27.0,358,51,Light Drizzle,0.0
2020-04-28,2020,4,Spring,New York,NY,US,40.71,-74.01,9.5,17.7,2.4,6.4,61.0,92,30,0.0,0.0,22.4,317,3,Overcast,0.0
2020-04-29,2020,4,Spring,New York,NY,US,40.71,-74.01,8.9,13.8,4.3,5.6,78.5,100,57,1.5,1.5,25.8,97,53,Moderate Drizzle,0.0
2020-04-30,2020,4,Spring,New York,NY,US,40.71,-74.01,12.8,15.6,9.5,8.4,89.5,98,81,24.6,24.6,43.5,136,63,Moderate Rain,0.05
2020-05-01,2020,5,Spring,New York,NY,US,40.71,-74.01,14.1,18.6,11.2,12.9,85.5,99,72,10.8,10.8,21.1,314,63,Moderate Rain,0.05
2020-05-02,2020,5,Spring,New York,NY,US,40.71,-74.01,15.4,21.6,9.1,11.8,57.0,80,34,0.0,0.0,26.7,306,3,Overcast,0.0
2020-05-03,2020,5,Spring,New York,NY,US,40.71,-74.01,17.8,24.7,11.3,15.9,67.0,92,42,4.7,4.7,19.0,240,63,Moderate Rain,0.0
2020-05-04,2020,5,Spring,New York,NY,US,40.71,-74.01,15.2,20.3,9.3,12.0,61.0,83,39,0.5,0.5,31.6,316,51,Light Drizzle,0.0
2020-05-05,2020,5,Spring,New York,NY,US,40.71,-74.01,10.7,15.2,6.8,6.9,51.0,72,30,0.0,0.0,21.4,303,3,Overcast,0.0
2020-05-06,2020,5,Spring,New York,NY,US,40.71,-74.01,8.8,11.7,6.6,5.8,71.5,92,51,3.4,3.4,19.3,74,53,Moderate Drizzle,0.0
2020-05-07,2020,5,Spring,New York,NY,US,40.71,-74.01,11.8,17.1,5.6,7.8,59.5,92,27,0.0,0.0,23.1,295,3,Overcast,0.0
2020-05-08,2020,5,Spring,New York,NY,US,40.71,-74.01,8.7,11.1,5.6,5.9,70.5,95,46,9.5,9.5,13.8,324,61,Light Rain,0.0
2020-05-09,2020,5,Spring,New York,NY,US,40.71,-74.01,4.8,8.2,0.7,-1.9,62.5,94,31,2.4,2.0,36.7,298,71,Light Snow,0.0
2020-05-10,2020,5,Spring,New York,NY,US,40.71,-74.01,9.5,16.1,2.7,4.4,50.0,65,35,0.0,0.0,30.5,249,3,Overcast,0.0
2020-05-11,2020,5,Spring,New York,NY,US,40.71,-74.01,10.4,15.1,6.0,7.0,72.0,87,57,2.5,2.5,25.6,251,55,Heavy Drizzle,0.0
2020-05-12,2020,5,Spring,New York,NY,US,40.71,-74.01,9.4,15.0,5.0,4.4,51.0,76,26,0.0,0.0,30.5,297,3,Overcast,0.0
2020-05-13,2020,5,Spring,New York,NY,US,40.71,-74.01,9.5,16.0,2.7,5.5,50.5,72,29,0.0,0.0,25.1,310,3,Overcast,0.0
2020-05-14,2020,5,Spring,New York,NY,US,40.71,-74.01,11.7,16.4,3.8,9.1,58.5,83,34,0.0,0.0,18.7,158,3,Overcast,0.0
2020-05-15,2020,5,Spring,New York,NY,US,40.71,-74.01,20.4,27.9,12.7,19.5,70.5,93,48,3.8,3.8,23.5,236,61,Light Rain,0.0
2020-05-16,2020,5,Spring,New York,NY,US,40.71,-74.01,19.3,23.6,15.5,18.4,65.5,89,42,1.2,1.2,23.1,318,53,Moderate Drizzle,0.0
2020-05-17,2020,5,Spring,New York,NY,US,40.71,-74.01,13.5,16.6,10.4,11.6,75.0,92,58,0.0,0.0,18.4,131,3,Overcast,0.0
2020-05-18,2020,5,Spring,New York,NY,US,40.71,-74.01,15.0,20.5,10.4,13.0,69.5,87,52,0.0,0.0,20.2,71,3,Overcast,0.0
2020-05-19,2020,5,Spring,New York,NY,US,40.71,-74.01,14.3,18.4,10.7,10.0,59.0,84,34,0.0,0.0,32.0,66,3,Overcast,0.0
2020-05-20,2020,5,Spring,New York,NY,US,40.71,-74.01,12.4,17.4,8.1,9.1,59.0,82,36,0.0,0.0,20.9,87,3,Overcast,0.0
2020-05-21,2020,5,Spring,New York,NY,US,40.71,-74.01,11.6,16.1,6.1,9.9,76.5,94,59,0.0,0.0,16.7,140,1,Mainly Clear,0.0
2020-05-22,2020,5,Spring,New York,NY,US,40.71,-74.01,16.5,22.2,11.6,16.4,78.5,97,60,3.1,3.1,19.4,172,61,Light Rain,0.0
2020-05-23,2020,5,Spring,New York,NY,US,40.71,-74.01,16.3,20.4,12.2,16.4,88.0,99,77,12.1,12.1,27.9,59,55,Heavy Drizzle,0.05
2020-05-24,2020,5,Spring,New York,NY,US,40.71,-74.01,14.0,19.0,10.3,11.8,72.0,87,57,0.0,0.0,19.1,69,3,Overcast,0.0
2020-05-25,2020,5,Spring,New York,NY,US,40.71,-74.01,15.4,20.1,12.7,15.2,85.0,97,73,0.0,0.0,12.2,83,3,Overcast,0.0
2020-05-26,2020,5,Spring,New York,NY,US,40.71,-74.01,16.9,22.0,12.9,17.7,85.0,99,71,0.0,0.0,15.3,157,3,Overcast,0.0
2020-05-27,2020,5,Spring,New York,NY,US,40.71,-74.01,17.6,22.4,14.8,18.2,88.0,99,77,0.0,0.0,19.7,158,3,Overcast,0.0
2020-05-28,2020,5,Spring,New York,NY,US,40.71,-74.01,19.0,23.0,15.9,19.6,89.5,99,80,0.9,0.9,27.4,157,51,Light Drizzle,0.0
2020-05-29,2020,5,Spring,New York,NY,US,40.71,-74.01,22.3,26.0,18.0,23.9,87.5,99,76,1.0,1.0,20.3,178,51,Light Drizzle,0.0
2020-05-30,2020,5,Spring,New York,NY,US,40.71,-74.01,22.4,26.3,20.0,22.3,68.5,98,39,4.6,4.6,19.4,285,63,Moderate Rain,0.0
2020-05-31,2020,5,Spring,New York,NY,US,40.71,-74.01,16.5,20.7,12.8,12.6,49.0,68,30,0.0,0.0,29.7,329,2,Partly Cloudy,0.0
2020-06-01,2020,6,Summer,New York,NY,US,40.71,-74.01,14.9,19.8,9.2,11.8,55.0,76,34,0.3,0.3,22.6,315,51,Light Drizzle,0.0
2020-06-02,2020,6,Summer,New York,NY,US,40.71,-74.01,17.7,21.7,12.2,15.8,57.0,80,34,0.0,0.0,23.4,243,3,Overcast,0.0
2020-06-03,2020,6,Summer,New York,NY,US,40.71,-74.01,21.4,28.9,15.2,22.3,73.5,92,55,8.3,8.3,21.7,251,61,Light Rain,0.0
2020-06-04,2020,6,Summer,New York,NY,US,40.71,-74.01,22.9,29.3,17.2,24.1,69.0,98,40,0.0,0.0,21.8,210,3,Overcast,0.0
2020-06-05,2020,6,Summer,New York,NY,US,40.71,-74.01,21.8,24.4,20.4,24.3,87.5,98,77,22.7,22.7,16.6,209,63,Moderate Rain,0.05
2020-06-06,2020,6,Summer,New York,NY,US,40.71,-74.01,24.3,29.5,20.6,25.9,68.0,98,38,4.1,4.1,23.7,285,55,Heavy Drizzle,0.0
2020-06-07,2020,6,Summer,New York,NY,US,40.71,-74.01,20.1,24.7,16.1,17.9,53.0,74,32,0.0,0.0,28.0,329,3,Overcast,0.0
2020-06-08,2020,6,Summer,New York,NY,US,40.71,-74.01,19.4,25.5,13.8,18.4,61.0,85,37,0.0,0.0,16.6,310,3,Overcast,0.0
2020-06-09,2020,6,Summer,New York,NY,US,40.71,-74.01,23.0,30.6,14.4,23.2,64.0,92,36,0.0,0.0,18.0,228,3,Overcast,0.0
