Vehicle_ID,Vehicle_Type,Route_ID,Date,Start_Location,End_Location,Distance_km,Average_Speed_kmh,Travel_Time_hrs,Number_of_Stops,Road_Type,Traffic_Level,Payload_kg,Idle_Time_min,Driving_Efficiency_Score,Estimated_Fuel_L
VH-0264,Van,RT-LON-BIR-740,2024-10-17,London,Birmingham,144.2,85.6,1.68,1,Highway,Moderate,1900.0,24.7,0.7539,6.39
VH-0227,Flatbed,RT-LEE-SHE-129,2022-09-06,Leeds,Sheffield,54.9,79.7,0.69,1,Highway,Moderate,19870.0,39.7,0.6737,25.45
VH-0499,Medium Truck,RT-MIN-MIL-330,2022-07-10,Minneapolis,Milwaukee,519.5,87.2,5.96,7,Highway,Low,9970.0,93.6,0.3966,120.85
VH-0431,Refrigerated Truck,RT-GLA-EDI-822,2024-11-08,Glasgow,Edinburgh,63.6,58.3,1.09,1,Highway,Low,18030.0,39.6,0.6099,26.76
VH-0140,Van,RT-LOS-SAN-864,2024-11-06,Los Angeles,San Francisco,629.8,66.3,9.5,9,Mixed,Low,3300.0,170.9,0.2189,48.49
VH-0451,Tanker,RT-NEW-LEE-940,2023-07-02,Newcastle,Leeds,95.1,61.0,1.56,0,Rural,High,26820.0,13.5,0.7267,59.51
VH-0002,Heavy Truck,RT-SOU-POR-566,2024-02-12,Southampton,Portsmouth,28.1,54.8,0.51,0,Mixed,High,15320.0,17.1,0.6931,10.04
VH-0478,Tanker,RT-EXE-PLY-822,2024-08-26,Exeter,Plymouth,60.7,43.1,1.41,0,Urban,Moderate,15650.0,24.4,0.6276,22.17
VH-0468,Flatbed,RT-YOR-LEE-229,2022-03-17,York,Leeds,35.0,69.4,0.5,3,Highway,Moderate,16420.0,95.4,0.3607,13.41
VH-0258,Tanker,RT-NEW-BOS-839,2022-02-01,New York,Boston,377.5,62.7,6.02,6,Highway,Low,28660.0,141.7,0.2167,252.45
VH-0074,Medium Truck,RT-LOS-SAN-765,2024-03-25,Los Angeles,San Francisco,664.9,51.4,12.94,11,Urban,Low,10610.0,245.8,0.1724,164.61
VH-0042,Medium Truck,RT-CAR-NEW-732,2022-03-15,Cardiff,Newport,21.3,58.8,0.36,0,Mixed,Congested,9390.0,27.2,0.6631,4.67
VH-0036,Heavy Truck,RT-BIR-WOL-878,2022-07-21,Birmingham,Wolverhampton,19.9,55.7,0.36,1,Urban,High,16940.0,58.6,0.5229,7.87
VH-0325,Flatbed,RT-LIV-MAN-467,2023-08-24,Liverpool,Manchester,50.3,53.2,0.95,3,Urban,Moderate,21530.0,76.2,0.3921,25.27
VH-0192,Heavy Truck,RT-NEW-PHI-724,2022-06-11,New York,Philadelphia,136.0,67.0,2.03,3,Highway,Moderate,12720.0,77.7,0.4272,40.36
VH-0446,Refrigerated Truck,RT-YOR-LEE-570,2023-06-05,York,Leeds,28.3,67.9,0.42,0,Highway,Low,14460.0,8.6,0.7679,9.55
VH-0131,Refrigerated Truck,RT-COL-CIN-453,2024-06-23,Columbus,Cincinnati,181.2,62.4,2.9,0,Highway,High,10210.0,21.9,0.696,43.17
VH-0301,Heavy Truck,RT-NOR-CAM-973,2024-02-27,Norwich,Cambridge,76.3,64.9,1.18,0,Rural,Moderate,13190.0,26.1,0.686,23.48
VH-0248,Tanker,RT-LIV-MAN-381,2024-03-21,Liverpool,Manchester,58.1,40.3,1.44,0,Urban,Moderate,19430.0,29.8,0.5967,26.34
VH-0005,Refrigerated Truck,RT-DET-CLE-721,2023-04-17,Detroit,Cleveland,314.0,69.6,4.51,7,Highway,High,20640.0,228.4,0.2338,151.22
VH-0411,Tanker,RT-EDI-DUN-743,2022-10-08,Edinburgh,Dundee,95.3,51.8,1.84,1,Highway,Low,26510.0,36.2,0.6046,58.95
VH-0050,Refrigerated Truck,RT-MIN-MIL-402,2022-07-04,Minneapolis,Milwaukee,528.8,78.7,6.72,2,Highway,Low,18250.0,50.5,0.5924,225.18
VH-0168,Heavy Truck,RT-LOS-SAN-950,2023-07-13,Los Angeles,San Francisco,543.8,74.3,7.32,8,Highway,Low,18490.0,166.6,0.2451,234.61
VH-0085,Tanker,RT-BRI-BAT-177,2024-08-17,Bristol,Bath,21.7,47.7,0.45,0,Mixed,Congested,27060.0,26.8,0.6314,13.7
VH-0073,Heavy Truck,RT-MAN-LIV-370,2022-01-29,Manchester,Liverpool,62.6,58.9,1.06,0,Mixed,Congested,22650.0,14.1,0.718,33.08
VH-0275,Refrigerated Truck,RT-GLA-EDI-210,2024-01-31,Glasgow,Edinburgh,74.2,68.1,1.09,2,Highway,Moderate,19510.0,58.5,0.5272,33.78
VH-0346,Flatbed,RT-MAN-LIV-750,2022-05-10,Manchester,Liverpool,59.3,58.5,1.01,2,Urban,Moderate,18370.0,61.3,0.4868,25.42
VH-0422,Heavy Truck,RT-ATL-CHA-218,2024-10-05,Atlanta,Charlotte,401.7,58.5,6.87,6,Rural,Moderate,10600.0,66.0,0.4291,99.35
VH-0050,Refrigerated Truck,RT-BIR-WOL-701,2024-05-08,Birmingham,Wolverhampton,20.1,40.8,0.49,3,Urban,Moderate,17750.0,71.7,0.3736,8.32
VH-0381,Flatbed,RT-LON-COV-322,2024-01-29,London,Coventry,147.1,75.1,1.96,2,Highway,High,12760.0,80.2,0.4578,43.8
VH-0228,Tanker,RT-DAL-HOU-162,2024-01-05,Dallas,Houston,433.6,61.4,7.06,4,Rural,Low,29670.0,97.2,0.3192,300.18
VH-0204,Heavy Truck,RT-LON-LUT-151,2022-02-13,London,Luton,48.1,66.1,0.73,2,Mixed,Low,20600.0,61.2,0.51,23.12
VH-0403,Refrigerated Truck,RT-CAR-NEW-700,2023-03-01,Cardiff,Newport,19.5,45.7,0.43,2,Urban,Low,18710.0,41.9,0.5292,8.51
VH-0111,Flatbed,RT-MAN-LIV-233,2022-10-24,Manchester,Liverpool,54.6,47.7,1.14,0,Urban,Low,22590.0,5.1,0.7218,28.78
VH-0277,Flatbed,RT-BRI-BAT-702,2023-05-03,Bristol,Bath,16.5,75.9,0.22,5,Highway,Moderate,21430.0,47.6,0.5627,8.25
VH-0166,Tanker,RT-BIR-MAN-559,2024-09-02,Birmingham,Manchester,91.5,67.0,1.37,1,Highway,Low,26180.0,38.8,0.6393,55.89
VH-0399,Medium Truck,RT-ABE-INV-408,2024-12-03,Aberdeen,Inverness,181.8,57.0,3.19,3,Rural,Low,5390.0,78.3,0.3948,22.86
VH-0235,Medium Truck,RT-NAS-MEM-175,2024-06-27,Nashville,Memphis,364.9,79.0,4.62,8,Highway,Congested,5970.0,356.2,0.2592,50.83
VH-0461,Medium Truck,RT-BRI-CAR-490,2023-10-28,Bristol,Cardiff,42.9,79.8,0.54,1,Highway,Low,10270.0,30.8,0.7111,10.28
VH-0306,Tanker,RT-SEA-POR-540,2023-03-17,Seattle,Portland,252.1,73.9,3.41,0,Highway,Moderate,16720.0,24.8,0.7184,98.35
VH-0232,Van,RT-MAN-LIV-781,2023-10-03,Manchester,Liverpool,53.5,44.1,1.21,2,Urban,High,1780.0,64.6,0.4298,2.22
VH-0131,Refrigerated Truck,RT-ABE-INV-931,2024-02-03,Aberdeen,Inverness,160.7,62.3,2.58,5,Mixed,Low,9350.0,118.0,0.2286,35.06
VH-0067,Tanker,RT-CHI-IND-988,2024-05-16,Chicago,Indianapolis,345.2,53.9,6.4,5,Highway,Congested,21160.0,188.5,0.195,170.44
VH-0469,Medium Truck,RT-LEE-SHE-967,2023-04-05,Leeds,Sheffield,48.0,65.6,0.73,0,Rural,Moderate,10910.0,10.3,0.7539,12.22
VH-0056,Van,RT-EDI-DUN-723,2022-02-23,Edinburgh,Dundee,78.2,64.2,1.22,0,Rural,Low,2070.0,10.7,0.748,3.78
VH-0476,Tanker,RT-COL-CIN-106,2023-12-20,Columbus,Cincinnati,188.0,60.0,3.13,2,Rural,Low,28820.0,49.4,0.5408,126.42
VH-0093,Medium Truck,RT-LON-COV-320,2024-12-22,London,Coventry,141.6,68.9,2.06,0,Highway,Moderate,5280.0,20.8,0.72,17.45
VH-0193,Van,RT-LOS-SAN-153,2022-06-23,Los Angeles,San Francisco,544.1,77.4,7.03,5,Highway,Low,3350.0,79.6,0.4339,42.53
VH-0080,Refrigerated Truck,RT-COV-LEI-524,2024-06-24,Coventry,Leicester,34.9,63.2,0.55,2,Highway,Moderate,14800.0,46.8,0.5613,12.05
VH-0140,Van,RT-SHE-HUL-783,2024-12-15,Sheffield,Hull,72.8,83.8,0.87,2,Highway,Low,2480.0,41.7,0.6443,4.21
VH-0158,Van,RT-MAN-LEE-882,2022-10-09,Manchester,Leeds,62.1,79.7,0.78,1,Highway,Congested,3360.0,27.1,0.7262,4.87
VH-0131,Refrigerated Truck,RT-SOU-POR-612,2023-04-17,Southampton,Portsmouth,31.6,34.0,0.93,1,Urban,Low,13320.0,30.1,0.5946,9.82
VH-0287,Tanker,RT-COL-CIN-982,2022-06-09,Columbus,Cincinnati,155.5,68.7,2.26,2,Highway,Moderate,21900.0,57.1,0.5349,79.46
VH-0161,Tanker,RT-DET-CLE-275,2023-10-28,Detroit,Cleveland,269.7,67.0,4.03,3,Highway,Moderate,21080.0,68.9,0.4639,132.66
VH-0411,Tanker,RT-HOU-NEW-703,2024-06-11,Houston,New Orleans,481.1,58.1,8.28,7,Highway,Moderate,16590.0,115.0,0.2201,186.23
VH-0206,Tanker,RT-SEA-POR-622,2022-06-06,Seattle,Portland,286.2,60.7,4.71,3,Highway,High,26690.0,97.4,0.3263,178.24
VH-0325,Flatbed,RT-GLA-EDI-341,2022-10-30,Glasgow,Edinburgh,68.3,84.3,0.81,1,Highway,Low,24290.0,35.0,0.7071,38.71
VH-0053,Heavy Truck,RT-LON-COV-575,2024-10-08,London,Coventry,178.8,62.6,2.86,2,Highway,Low,11210.0,45.2,0.5661,46.77
VH-0387,Refrigerated Truck,RT-DET-CLE-984,2023-10-24,Detroit,Cleveland,245.5,50.9,4.82,2,Mixed,Moderate,21810.0,67.1,0.4398,124.93
VH-0498,Refrigerated Truck,RT-MIN-MIL-460,2022-04-26,Minneapolis,Milwaukee,593.1,64.7,9.17,8,Highway,Moderate,19150.0,148.6,0.2163,265.02
VH-0260,Medium Truck,RT-LON-BRI-729,2022-07-04,London,Bristol,174.3,78.8,2.21,3,Highway,Moderate,5690.0,52.7,0.5668,23.14
VH-0305,Heavy Truck,RT-MIA-ORL-429,2023-01-21,Miami,Orlando,411.8,65.0,6.34,4,Highway,Moderate,10660.0,120.4,0.235,102.43
VH-0310,Medium Truck,RT-DEN-SAL-616,2022-06-22,Denver,Salt Lake City,654.5,63.6,10.29,6,Highway,Congested,12540.0,203.8,0.2194,191.51
VH-0331,Flatbed,RT-LEI-NOT-481,2024-01-16,Leicester,Nottingham,23.5,79.9,0.29,1,Highway,Moderate,18370.0,42.9,0.6609,10.07
VH-0470,Heavy Truck,RT-SOU-POR-167,2023-11-17,Southampton,Portsmouth,35.0,50.7,0.69,2,Urban,High,20090.0,61.0,0.4646,16.41
VH-0169,Refrigerated Truck,RT-LIV-MAN-441,2022-11-04,Liverpool,Manchester,51.6,39.2,1.32,0,Urban,Moderate,21500.0,26.3,0.6104,25.89
VH-0042,Medium Truck,RT-NEW-BOS-709,2022-09-22,New York,Boston,390.6,77.8,5.02,4,Highway,High,10960.0,95.7,0.3747,99.89
VH-0363,Van,RT-BRI-CAR-195,2024-12-14,Bristol,Cardiff,55.1,77.0,0.72,0,Highway,Moderate,2680.0,25.3,0.7256,3.45
VH-0331,Flatbed,RT-COL-CIN-296,2024-09-22,Columbus,Cincinnati,182.9,70.4,2.6,2,Highway,Moderate,11640.0,37.8,0.6204,49.68
VH-0116,Tanker,RT-NEW-LEE-138,2024-12-14,Newcastle,Leeds,108.7,62.2,1.75,2,Highway,Low,23100.0,60.5,0.5012,58.59
VH-0339,Van,RT-CAR-NEW-838,2022-12-06,Cardiff,Newport,20.8,42.4,0.49,1,Urban,Moderate,2730.0,20.1,0.6434,1.32
VH-0225,Tanker,RT-MAN-LEE-339,2024-07-08,Manchester,Leeds,73.1,58.4,1.25,1,Highway,Moderate,19270.0,28.1,0.6581,32.87
VH-0274,Flatbed,RT-BIR-WOL-572,2024-06-21,Birmingham,Wolverhampton,23.5,52.1,0.45,2,Urban,High,14250.0,70.6,0.4288,7.81
VH-0394,Heavy Truck,RT-SOU-POR-153,2023-05-28,Southampton,Portsmouth,36.2,44.9,0.81,1,Mixed,Congested,12210.0,66.6,0.4572,10.31
VH-0329,Tanker,RT-DEN-SAL-379,2022-11-25,Denver,Salt Lake City,659.9,68.3,9.66,7,Highway,Moderate,16260.0,125.5,0.2299,250.37
VH-0231,Flatbed,RT-MIA-ORL-127,2023-12-17,Miami,Orlando,389.0,83.2,4.68,6,Highway,Moderate,15670.0,155.1,0.2782,142.23
VH-0213,Flatbed,RT-LEE-SHE-201,2023-10-15,Leeds,Sheffield,53.3,70.7,0.75,0,Highway,Moderate,11820.0,7.0,0.7829,14.7
VH-0430,Tanker,RT-NAS-MEM-877,2022-10-12,Nashville,Memphis,370.1,67.5,5.48,6,Highway,Low,22090.0,79.8,0.3986,190.76
VH-0362,Medium Truck,RT-DEN-SAL-533,2024-12-16,Denver,Salt Lake City,830.7,61.7,13.46,6,Highway,Low,12510.0,67.5,0.4324,242.48
VH-0057,Heavy Truck,RT-SOU-POR-213,2022-05-09,Southampton,Portsmouth,32.1,53.8,0.6,1,Urban,Low,19960.0,33.0,0.6239,14.95
VH-0429,Medium Truck,RT-PHO-TUC-101,2024-05-29,Phoenix,Tucson,205.7,75.8,2.71,3,Highway,Low,6290.0,61.3,0.522,30.19
VH-0315,Medium Truck,RT-EDI-DUN-638,2022-05-19,Edinburgh,Dundee,90.0,80.4,1.12,1,Highway,Moderate,13770.0,26.4,0.7312,28.92
VH-0279,Tanker,RT-MIA-ORL-865,2023-06-04,Miami,Orlando,408.0,58.6,6.96,8,Highway,Moderate,29720.0,148.8,0.198,282.93
VH-0009,Tanker,RT-EDI-DUN-236,2023-11-12,Edinburgh,Dundee,83.6,56.5,1.48,1,Rural,Low,23730.0,26.8,0.6578,46.29
VH-0023,Van,RT-EDI-DUN-746,2024-09-07,Edinburgh,Dundee,83.6,89.0,0.94,1,Highway,High,2160.0,39.8,0.7012,4.21
VH-0094,Van,RT-NEW-LEE-142,2023-02-13,Newcastle,Leeds,103.0,63.0,1.63,2,Highway,High,1110.0,56.5,0.5202,2.67
VH-0162,Heavy Truck,RT-NOR-CAM-392,2023-01-27,Norwich,Cambridge,71.0,61.8,1.15,1,Rural,Congested,22050.0,44.1,0.6016,36.53
VH-0183,Tanker,RT-LEE-SHE-495,2024-06-19,Leeds,Sheffield,61.8,55.6,1.11,0,Rural,Low,21000.0,15.9,0.7005,30.28
VH-0174,Tanker,RT-LEI-NOT-180,2024-05-19,Leicester,Nottingham,27.7,58.4,0.47,1,Highway,Moderate,27020.0,41.7,0.6014,17.46
VH-0221,Van,RT-LOS-LAS-556,2023-09-20,Los Angeles,Las Vegas,415.1,56.1,7.4,4,Urban,Moderate,2650.0,60.8,0.455,25.67
VH-0309,Heavy Truck,RT-NEW-PHI-381,2024-06-09,New York,Philadelphia,166.6,73.4,2.27,1,Highway,Moderate,24590.0,38.8,0.6585,95.59
VH-0328,Van,RT-LEE-SHE-246,2022-03-05,Leeds,Sheffield,47.4,80.8,0.59,1,Highway,Moderate,2700.0,39.2,0.6791,2.99
VH-0435,Refrigerated Truck,RT-LOS-LAS-492,2024-01-12,Los Angeles,Las Vegas,370.5,66.3,5.59,4,Highway,Moderate,17030.0,51.5,0.5243,147.22
VH-0487,Medium Truck,RT-DET-CLE-687,2022-06-07,Detroit,Cleveland,247.9,86.3,2.87,5,Highway,Low,9000.0,92.5,0.4068,52.06
VH-0071,Medium Truck,RT-SEA-POR-611,2023-01-17,Seattle,Portland,242.7,78.6,3.09,1,Highway,Low,5230.0,41.8,0.6616,29.62
VH-0266,Flatbed,RT-YOR-LEE-810,2023-08-08,York,Leeds,29.3,68.3,0.43,0,Highway,Low,24940.0,16.2,0.7374,17.05
VH-0470,Heavy Truck,RT-PHO-TUC-929,2022-06-29,Phoenix,Tucson,194.5,68.2,2.85,2,Highway,Low,21410.0,27.8,0.6554,97.17
VH-0350,Heavy Truck,RT-EXE-PLY-828,2022-11-19,Exeter,Plymouth,50.8,66.5,0.76,3,Rural,Moderate,14800.0,64.3,0.4816,17.54
VH-0364,Van,RT-RIC-BAL-342,2022-10-12,Richmond,Baltimore,194.3,76.6,2.54,1,Highway,High,1500.0,31.3,0.6994,6.8
VH-0405,Medium Truck,RT-PHO-TUC-167,2022-06-26,Phoenix,Tucson,162.0,68.0,2.38,1,Highway,Moderate,9960.0,39.4,0.6398,37.65
VH-0159,Heavy Truck,RT-CHI-DET-757,2023-10-12,Chicago,Detroit,412.4,48.0,8.59,6,Mixed,Moderate,11180.0,152.0,0.1726,107.58
VH-0038,Tanker,RT-DAL-HOU-886,2023-01-08,Dallas,Houston,400.4,76.5,5.23,6,Highway,Moderate,23270.0,86.8,0.3964,217.4
VH-0495,Tanker,RT-NEW-LEE-265,2022-12-04,Newcastle,Leeds,119.9,71.3,1.68,2,Highway,High,17300.0,33.1,0.6426,48.4
VH-0166,Tanker,RT-MAN-LIV-228,2023-07-17,Manchester,Liverpool,52.1,42.1,1.24,1,Urban,Congested,18760.0,70.3,0.4334,22.81
VH-0321,Flatbed,RT-NOR-CAM-774,2022-12-17,Norwich,Cambridge,66.8,66.2,1.01,2,Rural,Low,17870.0,57.6,0.5253,27.85
VH-0320,Heavy Truck,RT-LOS-LAS-766,2023-06-27,Los Angeles,Las Vegas,396.9,70.7,5.61,2,Highway,High,11300.0,51.0,0.5663,104.65
VH-0108,Medium Truck,RT-DET-CLE-594,2023-09-11,Detroit,Cleveland,280.3,78.1,3.59,3,Highway,Moderate,7610.0,70.1,0.4922,49.77
VH-0126,Medium Truck,RT-LOU-LEX-308,2024-08-09,Louisville,Lexington,86.4,62.2,1.39,3,Highway,Moderate,8740.0,68.1,0.4528,17.62
VH-0175,Tanker,RT-LOS-LAS-233,2024-03-27,Los Angeles,Las Vegas,447.1,53.0,8.44,3,Highway,High,20180.0,86.1,0.3502,210.52
VH-0390,Flatbed,RT-ABE-INV-199,2022-10-16,Aberdeen,Inverness,140.0,56.8,2.46,1,Rural,Low,15640.0,20.2,0.6862,51.09
VH-0026,Medium Truck,RT-SOU-POR-294,2023-10-03,Southampton,Portsmouth,30.9,54.5,0.57,1,Mixed,Low,7950.0,31.7,0.6314,5.73
VH-0391,Van,RT-COV-LEI-617,2024-03-16,Coventry,Leicester,32.6,70.9,0.46,1,Highway,Moderate,1060.0,29.2,0.691,0.81
VH-0235,Medium Truck,RT-BIR-WOL-392,2024-08-21,Birmingham,Wolverhampton,23.8,44.6,0.53,0,Urban,Moderate,12940.0,17.4,0.6613,7.19
VH-0275,Refrigerated Truck,RT-LON-BIR-510,2022-04-03,London,Birmingham,151.4,58.2,2.6,1,Mixed,Low,13650.0,26.6,0.6638,48.22
