Manufacturer,Vehicle_Model,Vehicle_Class,Engine_Size_L,Engine_Cylinders,Transmission_Type,Fuel_Type_Code,Fuel_Type,Fuel_Consumption_City_L100km,Fuel_Consumption_Hwy_L100km,Fuel_Consumption_Combined_L100km,CO2_Emissions_g_per_km,Estimated_Annual_CO2_kg,Fuel_Cost_Per_100km_CAD,Estimated_Annual_Fuel_Cost_CAD,EV_CO2_Saving_g_per_km,EV_Annual_CO2_Saving_kg,Is_Diesel,Emission_Category
Aston Martin,V8 VANTAGE S,Two-Seater,4.7,8,M6,Z,Premium Gasoline,18.1,12.2,15.4,354,7080.0,22.33,4466.0,324,6480.0,0,Very High
Aston Martin,VANQUISH,Minicompact,5.9,12,A6,Z,Premium Gasoline,18.0,12.6,15.6,359,7180.0,22.62,4524.0,329,6580.0,0,Very High
Audi,A4,Compact,2.0,4,AV8,Z,Premium Gasoline,9.9,7.4,8.8,202,4040.0,12.76,2552.0,172,3440.0,0,Medium
Audi,A4 QUATTRO,Compact,2.0,4,AS8,Z,Premium Gasoline,11.5,8.1,10.0,230,4600.0,14.5,2900.0,200,4000.0,0,Medium
Audi,A4 QUATTRO,Compact,2.0,4,M6,Z,Premium Gasoline,10.8,7.5,9.3,214,4280.0,13.49,2698.0,184,3680.0,0,Medium
Audi,A5 CABRIOLET QUATTRO,Subcompact,2.0,4,AS8,Z,Premium Gasoline,11.5,8.1,10.0,230,4600.0,14.5,2900.0,200,4000.0,0,Medium
Audi,A5 QUATTRO,Subcompact,2.0,4,AS8,Z,Premium Gasoline,11.5,8.1,10.0,230,4600.0,14.5,2900.0,200,4000.0,0,Medium
Audi,A5 QUATTRO,Subcompact,2.0,4,M6,Z,Premium Gasoline,10.8,7.5,9.3,214,4280.0,13.49,2698.0,184,3680.0,0,Medium
Audi,A6 QUATTRO,Mid-Size,2.0,4,AS8,Z,Premium Gasoline,12.0,8.1,10.2,235,4700.0,14.79,2958.0,205,4100.0,0,Medium
Audi,A6 QUATTRO,Mid-Size,3.0,6,AS8,Z,Premium Gasoline,12.8,8.6,10.9,251,5020.0,15.8,3160.0,221,4420.0,0,High
Audi,A6 QUATTRO TDI (modified),Mid-Size,3.0,6,AS8,D,Diesel,9.8,6.2,8.1,217,4340.0,12.96,2592.0,187,3740.0,1,Medium
Audi,A7 QUATTRO,Mid-Size,3.0,6,AS8,Z,Premium Gasoline,13.3,8.5,11.2,262,5240.0,16.24,3248.0,232,4640.0,0,High
Audi,A7 QUATTRO TDI (modified),Mid-Size,3.0,6,AS8,D,Diesel,9.8,6.2,8.1,217,4340.0,12.96,2592.0,187,3740.0,1,Medium
Audi,A8,Mid-Size,3.0,6,AS8,Z,Premium Gasoline,13.1,8.8,11.2,258,5160.0,16.24,3248.0,228,4560.0,0,High
Audi,A8,Mid-Size,4.0,8,AS8,Z,Premium Gasoline,13.7,8.3,11.3,265,5300.0,16.39,3278.0,235,4700.0,0,High
Audi,A8 TDI (modified),Mid-Size,3.0,6,AS8,D,Diesel,9.8,6.5,8.4,224,4480.0,13.44,2688.0,194,3880.0,1,Medium
Audi,A8L,Full-Size,3.0,6,AS8,Z,Premium Gasoline,13.1,8.8,11.2,258,5160.0,16.24,3248.0,228,4560.0,0,High
Audi,A8L,Full-Size,4.0,8,AS8,Z,Premium Gasoline,14.7,9.7,12.5,288,5760.0,18.12,3624.0,258,5160.0,0,High
Audi,A8L,Full-Size,6.3,12,AS8,Z,Premium Gasoline,18.7,11.5,15.5,363,7260.0,22.48,4496.0,333,6660.0,0,Very High
Audi,A8L TDI (modified),Full-Size,3.0,6,AS8,D,Diesel,9.8,6.5,8.4,224,4480.0,13.44,2688.0,194,3880.0,1,Medium
Audi,ALLROAD QUATTRO,Station Wagon - Small,2.0,4,AS8,Z,Premium Gasoline,11.8,8.8,10.5,242,4840.0,15.22,3044.0,212,4240.0,0,Medium
Audi,Q5,Suv - Small,2.0,4,AS8,Z,Premium Gasoline,12.0,8.5,10.4,239,4780.0,15.08,3016.0,209,4180.0,0,Medium
Audi,Q5,Suv - Small,3.0,6,AS8,Z,Premium Gasoline,12.9,9.2,11.2,258,5160.0,16.24,3248.0,228,4560.0,0,High
Audi,Q5 TDI (modified),Suv - Small,3.0,6,AS8,D,Diesel,10.2,7.8,9.0,244,4880.0,14.4,2880.0,214,4280.0,1,Medium
Audi,Q5 HYBRID,Suv - Small,2.0,4,AS8,Z,Premium Gasoline,9.9,8.3,9.2,212,4240.0,13.34,2668.0,182,3640.0,0,Medium
Audi,Q7,Suv - Standard,3.0,6,AS8,Z,Premium Gasoline,15.1,10.9,13.2,304,6080.0,19.14,3828.0,274,5480.0,0,High
Audi,Q7 TDI (modified),Suv - Standard,3.0,6,AS8,D,Diesel,12.4,8.7,10.7,290,5800.0,17.12,3424.0,260,5200.0,1,High
Audi,R8,Two-Seater,4.2,8,A7,Z,Premium Gasoline,17.6,11.0,14.6,336,6720.0,21.17,4234.0,306,6120.0,0,High
Audi,R8,Two-Seater,4.2,8,M6,Z,Premium Gasoline,21.2,13.4,17.7,407,8140.0,25.66,5132.0,377,7540.0,0,Very High
Audi,R8,Two-Seater,5.2,10,A7,Z,Premium Gasoline,18.2,10.6,14.8,347,6940.0,21.46,4292.0,317,6340.0,0,High
Audi,R8,Two-Seater,5.2,10,M6,Z,Premium Gasoline,21.1,13.8,17.8,409,8180.0,25.81,5162.0,379,7580.0,0,Very High
Audi,R8 SPYDER,Two-Seater,4.2,8,A7,Z,Premium Gasoline,17.6,11.0,14.6,336,6720.0,21.17,4234.0,306,6120.0,0,High
Audi,R8 SPYDER,Two-Seater,4.2,8,M6,Z,Premium Gasoline,21.2,13.4,17.7,407,8140.0,25.66,5132.0,377,7540.0,0,Very High
Audi,R8 SPYDER,Two-Seater,5.2,10,A7,Z,Premium Gasoline,18.2,10.6,14.8,347,6940.0,21.46,4292.0,317,6340.0,0,High
Audi,R8 SPYDER,Two-Seater,5.2,10,M6,Z,Premium Gasoline,21.1,13.8,17.8,409,8180.0,25.81,5162.0,379,7580.0,0,Very High
Audi,RS 5,Subcompact,4.2,8,A7,Z,Premium Gasoline,15.3,10.9,13.3,306,6120.0,19.28,3856.0,276,5520.0,0,High
Audi,RS 5 CABRIOLET,Subcompact,4.2,8,A7,Z,Premium Gasoline,15.2,11.3,13.4,308,6160.0,19.43,3886.0,278,5560.0,0,High
Audi,RS 7,Mid-Size,4.0,8,AS8,Z,Premium Gasoline,15.5,8.8,12.5,293,5860.0,18.12,3624.0,263,5260.0,0,High
Audi,S4,Compact,3.0,6,A7,Z,Premium Gasoline,13.2,9.2,11.4,262,5240.0,16.53,3306.0,232,4640.0,0,High
Audi,S4,Compact,3.0,6,M6,Z,Premium Gasoline,14.6,9.8,12.4,285,5700.0,17.98,3596.0,255,5100.0,0,High
Audi,S5,Subcompact,3.0,6,A7,Z,Premium Gasoline,13.2,9.2,11.4,262,5240.0,16.53,3306.0,232,4640.0,0,High
Audi,S5,Subcompact,3.0,6,M6,Z,Premium Gasoline,14.6,9.8,12.4,285,5700.0,17.98,3596.0,255,5100.0,0,High
Audi,S5 CABRIOLET,Subcompact,3.0,6,A7,Z,Premium Gasoline,13.3,9.5,11.6,267,5340.0,16.82,3364.0,237,4740.0,0,High
Audi,S6,Mid-Size,4.0,8,A7,Z,Premium Gasoline,14.2,9.7,12.2,281,5620.0,17.69,3538.0,251,5020.0,0,High
Audi,S7,Mid-Size,4.0,8,A7,Z,Premium Gasoline,14.2,9.7,12.2,281,5620.0,17.69,3538.0,251,5020.0,0,High
Audi,S8,Mid-Size,4.0,8,AS8,Z,Premium Gasoline,15.8,9.2,12.8,300,6000.0,18.56,3712.0,270,5400.0,0,High
Audi,SQ5,Suv - Small,3.0,6,AS8,Z,Premium Gasoline,14.9,10.1,12.7,292,5840.0,18.42,3684.0,262,5240.0,0,High
Audi,TT COUPE QUATTRO,Subcompact,2.0,4,A6,Z,Premium Gasoline,10.4,7.6,9.1,209,4180.0,13.19,2638.0,179,3580.0,0,Medium
Audi,TT ROADSTER QUATTRO,Two-Seater,2.0,4,A6,Z,Premium Gasoline,10.4,7.6,9.1,209,4180.0,13.19,2638.0,179,3580.0,0,Medium
Audi,TTS COUPE QUATTRO,Subcompact,2.0,4,A6,Z,Premium Gasoline,11.5,8.8,10.3,237,4740.0,14.94,2988.0,207,4140.0,0,Medium
Audi,TTS ROADSTER QUATTRO,Two-Seater,2.0,4,A6,Z,Premium Gasoline,11.5,8.8,10.3,237,4740.0,14.94,2988.0,207,4140.0,0,Medium
Bentley,CONTINENTAL GT,Subcompact,4.0,8,AS8,Z,Premium Gasoline,16.3,9.8,13.4,314,6280.0,19.43,3886.0,284,5680.0,0,High
Bentley,CONTINENTAL GT,Subcompact,6.0,12,AS8,Z,Premium Gasoline,18.8,11.5,15.5,356,7120.0,22.48,4496.0,326,6520.0,0,Very High
Bentley,CONTINENTAL GTC,Subcompact,4.0,8,AS8,Z,Premium Gasoline,17.4,10.2,14.2,332,6640.0,20.59,4118.0,302,6040.0,0,High
Bentley,CONTINENTAL GTC,Subcompact,6.0,12,AS8,Z,Premium Gasoline,20.0,12.2,16.5,380,7600.0,23.92,4784.0,350,7000.0,0,Very High
Bentley,CONTINENTAL GT SPEED CONVERTIBLE,Subcompact,6.0,12,AS8,Z,Premium Gasoline,20.0,12.2,16.5,380,7600.0,23.92,4784.0,350,7000.0,0,Very High
Bentley,FLYING SPUR,Mid-Size,6.0,12,AS8,Z,Premium Gasoline,20.3,11.9,16.5,388,7760.0,23.92,4784.0,358,7160.0,0,Very High
Bentley,MULSANNE,Mid-Size,6.8,8,AS8,Z,Premium Gasoline,22.3,14.9,19.0,437,8740.0,27.55,5510.0,407,8140.0,0,Very High
Bmw,320i,Compact,2.0,4,A8,Z,Premium Gasoline,10.0,6.5,8.4,193,3860.0,12.18,2436.0,163,3260.0,0,Medium
Bmw,320i,Compact,2.0,4,M6,Z,Premium Gasoline,10.4,6.7,8.7,200,4000.0,12.61,2522.0,170,3400.0,0,Medium
Bmw,320i xDRIVE,Compact,2.0,4,A8,Z,Premium Gasoline,10.2,7.0,8.8,202,4040.0,12.76,2552.0,172,3440.0,0,Medium
Bmw,328d xDRIVE,Compact,2.0,4,A8,D,Diesel,7.6,5.5,6.7,181,3620.0,10.72,2144.0,151,3020.0,1,Medium
Bmw,328d xDRIVE TOURING,Station Wagon - Small,2.0,4,A8,D,Diesel,7.6,5.5,6.7,181,3620.0,10.72,2144.0,151,3020.0,1,Medium
Bmw,328i,Compact,2.0,4,A8,Z,Premium Gasoline,10.0,6.5,8.4,193,3860.0,12.18,2436.0,163,3260.0,0,Medium
Bmw,328i,Compact,2.0,4,M6,Z,Premium Gasoline,10.4,6.7,8.7,200,4000.0,12.61,2522.0,170,3400.0,0,Medium
Bmw,328i xDRIVE,Compact,2.0,4,A8,Z,Premium Gasoline,10.6,7.2,9.1,209,4180.0,13.19,2638.0,179,3580.0,0,Medium
Bmw,328i xDRIVE GRAN TURISMO,Full-Size,2.0,4,A8,Z,Premium Gasoline,10.6,7.2,9.1,209,4180.0,13.19,2638.0,179,3580.0,0,Medium
Bmw,328i xDRIVE TOURING,Station Wagon - Small,2.0,4,A8,Z,Premium Gasoline,10.6,7.2,9.1,209,4180.0,13.19,2638.0,179,3580.0,0,Medium
Bmw,335i,Compact,3.0,6,A8,Z,Premium Gasoline,11.4,7.3,9.6,221,4420.0,13.92,2784.0,191,3820.0,0,Medium
Bmw,335i,Compact,3.0,6,M6,Z,Premium Gasoline,11.8,7.9,10.0,230,4600.0,14.5,2900.0,200,4000.0,0,Medium
Bmw,335i xDRIVE,Compact,3.0,6,A8,Z,Premium Gasoline,11.7,7.8,9.9,228,4560.0,14.36,2872.0,198,3960.0,0,Medium
Bmw,335i xDRIVE,Compact,3.0,6,M6,Z,Premium Gasoline,11.9,8.3,10.3,237,4740.0,14.94,2988.0,207,4140.0,0,Medium
Bmw,335i xDRIVE GRAN TURISMO,Full-Size,3.0,6,A8,Z,Premium Gasoline,11.9,8.0,10.1,232,4640.0,14.64,2928.0,202,4040.0,0,Medium
Bmw,428i COUPE,Compact,2.0,4,A8,Z,Premium Gasoline,10.0,6.5,8.4,193,3860.0,12.18,2436.0,163,3260.0,0,Medium
Bmw,428i COUPE,Compact,2.0,4,M6,Z,Premium Gasoline,10.4,6.7,8.7,200,4000.0,12.61,2522.0,170,3400.0,0,Medium
Bmw,428i xDRIVE COUPE,Compact,2.0,4,A8,Z,Premium Gasoline,10.6,7.2,9.1,209,4180.0,13.19,2638.0,179,3580.0,0,Medium
Bmw,435i COUPE,Compact,3.0,6,A8,Z,Premium Gasoline,11.4,7.3,9.6,221,4420.0,13.92,2784.0,191,3820.0,0,Medium
Bmw,435i COUPE,Compact,3.0,6,M6,Z,Premium Gasoline,11.8,7.9,10.0,230,4600.0,14.5,2900.0,200,4000.0,0,Medium
Bmw,435i xDRIVE COUPE,Compact,3.0,6,A8,Z,Premium Gasoline,11.7,7.8,9.9,228,4560.0,14.36,2872.0,198,3960.0,0,Medium
Bmw,435i xDRIVE COUPE,Compact,3.0,6,M6,Z,Premium Gasoline,11.9,8.3,10.3,237,4740.0,14.94,2988.0,207,4140.0,0,Medium
Bmw,528i,Mid-Size,2.0,4,A8,Z,Premium Gasoline,10.2,7.0,8.8,202,4040.0,12.76,2552.0,172,3440.0,0,Medium
Bmw,528i xDRIVE,Mid-Size,2.0,4,A8,Z,Premium Gasoline,10.6,7.2,9.1,209,4180.0,13.19,2638.0,179,3580.0,0,Medium
Bmw,535d xDRIVE,Mid-Size,3.0,6,A8,D,Diesel,9.2,6.4,7.9,213,4260.0,12.64,2528.0,183,3660.0,1,Medium
Bmw,535i xDRIVE,Mid-Size,3.0,6,A8,Z,Premium Gasoline,11.9,8.0,10.1,232,4640.0,14.64,2928.0,202,4040.0,0,Medium
Bmw,535i xDRIVE GRAN TURISMO,Full-Size,3.0,6,A8,Z,Premium Gasoline,12.5,8.6,10.7,246,4920.0,15.51,3102.0,216,4320.0,0,Medium
Bmw,550i xDRIVE,Mid-Size,4.4,8,A8,Z,Premium Gasoline,14.4,9.6,12.2,281,5620.0,17.69,3538.0,251,5020.0,0,High
Bmw,550i xDRIVE GRAN TURISMO,Full-Size,4.4,8,A8,Z,Premium Gasoline,15.0,9.8,12.7,292,5840.0,18.42,3684.0,262,5240.0,0,High
Bmw,640i xDRIVE GRAN COUPE,Compact,3.0,6,A8,Z,Premium Gasoline,11.9,8.0,10.1,232,4640.0,14.64,2928.0,202,4040.0,0,Medium
Bmw,650i xDRIVE CABRIOLET,Subcompact,4.4,8,A8,Z,Premium Gasoline,15.0,9.8,12.7,292,5840.0,18.42,3684.0,262,5240.0,0,High
Bmw,650i xDRIVE COUPE,Compact,4.4,8,A8,Z,Premium Gasoline,14.4,9.6,12.2,281,5620.0,17.69,3538.0,251,5020.0,0,High
Bmw,650i xDRIVE GRAN COUPE,Compact,4.4,8,A8,Z,Premium Gasoline,15.0,9.8,12.7,292,5840.0,18.42,3684.0,262,5240.0,0,High
Bmw,740Li xDRIVE,Full-Size,3.0,6,A8,Z,Premium Gasoline,12.5,8.6,10.7,246,4920.0,15.51,3102.0,216,4320.0,0,Medium
Bmw,750i xDRIVE,Full-Size,4.4,8,A8,Z,Premium Gasoline,15.0,9.8,12.7,292,5840.0,18.42,3684.0,262,5240.0,0,High
Bmw,750Li xDRIVE,Full-Size,4.4,8,A8,Z,Premium Gasoline,15.0,9.8,12.7,292,5840.0,18.42,3684.0,262,5240.0,0,High
Bmw,760Li,Full-Size,6.0,12,A8,Z,Premium Gasoline,18.7,11.5,15.5,356,7120.0,22.48,4496.0,326,6520.0,0,Very High
Bmw,ACTIVEHYBRID 3,Compact,3.0,6,A8,Z,Premium Gasoline,9.2,7.1,8.3,191,3820.0,12.04,2408.0,161,3220.0,0,Medium
Bmw,ACTIVEHYBRID 5,Mid-Size,3.0,6,A8,Z,Premium Gasoline,10.5,7.9,9.3,214,4280.0,13.49,2698.0,184,3680.0,0,Medium
Bmw,ACTIVEHYBRID 7L,Full-Size,3.0,6,A8,Z,Premium Gasoline,10.5,7.6,9.2,212,4240.0,13.34,2668.0,182,3640.0,0,Medium
Bmw,ALPINA B7 xDRIVE LWB,Full-Size,4.4,8,A8,Z,Premium Gasoline,15.0,9.8,12.7,292,5840.0,18.42,3684.0,262,5240.0,0,High
Bmw,ALPINA B7 xDRIVE SWB,Full-Size,4.4,8,A8,Z,Premium Gasoline,15.0,9.8,12.7,292,5840.0,18.42,3684.0,262,5240.0,0,High
Bmw,M5,Mid-Size,4.4,8,AM7,Z,Premium Gasoline,17.3,11.5,14.7,338,6760.0,21.32,4264.0,308,6160.0,0,High
Bmw,M5,Mid-Size,4.4,8,M6,Z,Premium Gasoline,16.2,10.9,13.8,317,6340.0,20.01,4002.0,287,5740.0,0,High
Bmw,M6,Compact,4.4,8,AM7,Z,Premium Gasoline,17.3,11.5,14.7,338,6760.0,21.32,4264.0,308,6160.0,0,High
Bmw,M6,Compact,4.4,8,M6,Z,Premium Gasoline,16.2,10.9,13.8,317,6340.0,20.01,4002.0,287,5740.0,0,High
Bmw,M6 CABRIOLET,Subcompact,4.4,8,AM7,Z,Premium Gasoline,17.3,11.5,14.7,338,6760.0,21.32,4264.0,308,6160.0,0,High
Bmw,M6 CABRIOLET,Subcompact,4.4,8,M6,Z,Premium Gasoline,16.2,10.9,13.8,317,6340.0,20.01,4002.0,287,5740.0,0,High
Bmw,M6 GRAN COUPE,Compact,4.4,8,AM7,Z,Premium Gasoline,17.3,11.5,14.7,338,6760.0,21.32,4264.0,308,6160.0,0,High
Bmw,M6 GRAN COUPE,Compact,4.4,8,M6,Z,Premium Gasoline,16.2,10.9,13.8,317,6340.0,20.01,4002.0,287,5740.0,0,High
Bmw,X1 xDRIVE28i,Suv - Small,2.0,4,A8,Z,Premium Gasoline,10.6,7.2,9.1,209,4180.0,13.19,2638.0,179,3580.0,0,Medium
Bmw,X1 xDRIVE35i,Suv - Small,3.0,6,A6,Z,Premium Gasoline,13.2,8.9,11.3,260,5200.0,16.39,3278.0,230,4600.0,0,High
Bmw,X3 xDRIVE28i,Suv - Small,2.0,4,A8,Z,Premium Gasoline,11.2,8.5,10.0,230,4600.0,14.5,2900.0,200,4000.0,0,Medium
Bmw,X3 xDRIVE35i,Suv - Small,3.0,6,A8,Z,Premium Gasoline,12.6,9.1,11.0,253,5060.0,15.95,3190.0,223,4460.0,0,High
Bmw,X5 xDRIVE35i,Suv - Standard,3.0,6,A8,Z,Premium Gasoline,12.9,8.8,11.1,255,5100.0,16.1,3220.0,225,4500.0,0,High
Bmw,X5 xDRIVE50i,Suv - Standard,4.4,8,A8,Z,Premium Gasoline,16.3,10.9,13.9,320,6400.0,20.16,4032.0,290,5800.0,0,High
Bmw,X6 M,Suv - Standard,4.4,8,A6,Z,Premium Gasoline,18.1,13.7,16.1,370,7400.0,23.35,4670.0,340,6800.0,0,Very High
Bmw,X6 xDRIVE35i,Suv - Standard,3.0,6,A8,Z,Premium Gasoline,13.6,9.8,11.9,274,5480.0,17.26,3452.0,244,4880.0,0,High
Bmw,X6 xDRIVE50i,Suv - Standard,4.4,8,A8,Z,Premium Gasoline,16.4,11.3,14.1,324,6480.0,20.44,4088.0,294,5880.0,0,High
Bmw,Z4 sDRIVE28i,Two-Seater,2.0,4,A8,Z,Premium Gasoline,10.8,7.1,9.1,209,4180.0,13.19,2638.0,179,3580.0,0,Medium
Bmw,Z4 sDRIVE28i,Two-Seater,2.0,4,M6,Z,Premium Gasoline,10.4,6.7,8.7,200,4000.0,12.61,2522.0,170,3400.0,0,Medium
Bmw,Z4 sDRIVE35i,Two-Seater,3.0,6,AM7,Z,Premium Gasoline,13.7,10.1,12.1,278,5560.0,17.54,3508.0,248,4960.0,0,High
Bmw,Z4 sDRIVE35i,Two-Seater,3.0,6,M6,Z,Premium Gasoline,12.7,9.0,11.0,253,5060.0,15.95,3190.0,223,4460.0,0,High
Bmw,Z4 sDRIVE35is,Two-Seater,3.0,6,AM7,Z,Premium Gasoline,13.7,10.1,12.1,278,5560.0,17.54,3508.0,248,4960.0,0,High
Buick,ENCLAVE,Suv - Standard,3.6,6,A6,X,Regular Gasoline,14.3,9.9,12.3,283,5660.0,17.84,3568.0,253,5060.0,0,High
Buick,ENCLAVE AWD,Suv - Standard,3.6,6,A6,X,Regular Gasoline,14.6,10.2,12.6,290,5800.0,18.27,3654.0,260,5200.0,0,High
Buick,ENCORE,Suv - Small,1.4,4,AS6,X,Regular Gasoline,9.5,7.2,8.5,196,3920.0,12.32,2464.0,166,3320.0,0,Medium
Buick,ENCORE AWD,Suv - Small,1.4,4,AS6,X,Regular Gasoline,10.2,8.0,9.2,212,4240.0,13.34,2668.0,182,3640.0,0,Medium
Buick,LACROSSE,Mid-Size,3.6,6,AS6,X,Regular Gasoline,13.7,8.7,11.5,264,5280.0,16.68,3336.0,234,4680.0,0,High
Buick,LACROSSE,Mid-Size,3.6,6,AS6,E,Ethanol (E85),18.4,12.2,15.6,250,5000.0,22.62,4524.0,220,4400.0,0,High
Buick,LACROSSE AWD,Mid-Size,3.6,6,AS6,X,Regular Gasoline,13.7,8.9,11.5,264,5280.0,16.68,3336.0,234,4680.0,0,High
Buick,LACROSSE AWD,Mid-Size,3.6,6,AS6,E,Ethanol (E85),19.4,13.0,16.5,264,5280.0,23.92,4784.0,234,4680.0,0,High
Buick,LACROSSE eASSIST,Mid-Size,2.4,4,AS6,X,Regular Gasoline,9.6,6.5,8.2,189,3780.0,11.89,2378.0,159,3180.0,0,Medium
Buick,REGAL,Mid-Size,2.0,4,AS6,Z,Premium Gasoline,11.5,7.9,9.9,228,4560.0,14.36,2872.0,198,3960.0,0,Medium
Buick,REGAL,Mid-Size,2.0,4,M6,Z,Premium Gasoline,11.6,7.5,9.8,225,4500.0,14.21,2842.0,195,3900.0,0,Medium
Buick,REGAL AWD,Mid-Size,2.0,4,AS6,Z,Premium Gasoline,12.3,8.7,10.7,246,4920.0,15.51,3102.0,216,4320.0,0,Medium
Buick,REGAL eASSIST,Mid-Size,2.4,4,AS6,X,Regular Gasoline,9.6,6.5,8.2,189,3780.0,11.89,2378.0,159,3180.0,0,Medium
Buick,VERANO,Compact,2.0,4,AS6,Z,Premium Gasoline,11.5,7.9,9.9,228,4560.0,14.36,2872.0,198,3960.0,0,Medium
Buick,VERANO,Compact,2.0,4,M6,Z,Premium Gasoline,11.6,7.5,9.8,225,4500.0,14.21,2842.0,195,3900.0,0,Medium
Buick,VERANO,Compact,2.4,4,AS6,X,Regular Gasoline,11.3,7.4,9.5,218,4360.0,13.78,2756.0,188,3760.0,0,Medium
Cadillac,ATS,Compact,2.0,4,AS6,Z,Premium Gasoline,11.3,7.5,9.6,221,4420.0,13.92,2784.0,191,3820.0,0,Medium
Cadillac,ATS,Compact,2.0,4,M6,Z,Premium Gasoline,12.1,7.9,10.2,235,4700.0,14.79,2958.0,205,4100.0,0,Medium
Cadillac,ATS,Compact,2.5,4,AS6,X,Regular Gasoline,10.5,7.2,9.0,207,4140.0,13.05,2610.0,177,3540.0,0,Medium
Cadillac,ATS,Compact,3.6,6,AS6,X,Regular Gasoline,12.8,8.5,10.9,251,5020.0,15.8,3160.0,221,4420.0,0,High
Cadillac,ATS AWD,Compact,2.0,4,AS6,Z,Premium Gasoline,11.8,8.1,10.1,232,4640.0,14.64,2928.0,202,4040.0,0,Medium
Cadillac,ATS AWD,Compact,3.6,6,AS6,X,Regular Gasoline,13.1,9.0,11.3,260,5200.0,16.39,3278.0,230,4600.0,0,High
Cadillac,CTS COUPE,Mid-Size,3.6,6,AS6,X,Regular Gasoline,13.2,8.7,11.2,258,5160.0,16.24,3248.0,228,4560.0,0,High
Cadillac,CTS COUPE AWD,Mid-Size,3.6,6,AS6,X,Regular Gasoline,13.3,9.0,11.4,262,5240.0,16.53,3306.0,232,4640.0,0,High
Cadillac,CTS SEDAN,Mid-Size,2.0,4,AS6,Z,Premium Gasoline,11.9,7.9,10.1,232,4640.0,14.64,2928.0,202,4040.0,0,Medium
Cadillac,CTS SEDAN,Mid-Size,3.6,6,AS8,X,Regular Gasoline,12.9,8.2,10.8,248,4960.0,15.66,3132.0,218,4360.0,0,Medium
Cadillac,CTS SEDAN AWD,Mid-Size,2.0,4,AS6,Z,Premium Gasoline,12.6,8.5,10.8,248,4960.0,15.66,3132.0,218,4360.0,0,Medium
