Station_ID,Station_Name,Street_Address,City,State,ZIP_Code,Country,Latitude,Longitude,Charger_Type,Power_kW,Level1_Chargers,Level2_Chargers,DC_Fast_Chargers,Total_Chargers,Operator,Connector_Types,Pricing_Info,Access_Hours,Open_Date,Station_Age_Years,Availability_Pct,Location_Type,Status
100021,Tesla Supercharger - Los Angeles Gas Station #2591,1158 Shopping Center Blvd,Los Angeles,CA,82282,US,34.081725,-118.263324,DC Fast Charger,250.3,0,2,8,10,Tesla Supercharger,"CCS1, CHAdeMO",$0.25-0.50/kWh (Tesla vehicles),Daily: 6am-midnight,2020-01-04,6.5,98.5,Gas Station,Open
100022,Tesla Supercharger - Los Angeles Hotel #7861,7678 Commerce Dr,Los Angeles,CA,79031,US,34.053996,-118.260238,DC Fast Charger,208.2,0,2,2,4,Tesla Supercharger,"CCS1, NACS",$0.25-0.50/kWh (Tesla vehicles),24/7,2022-08-20,3.9,76.8,Hotel,Open
100023,Electrify America - Los Angeles Convention Center #7767,4131 Industrial Way,Los Angeles,CA,94994,US,34.092639,-118.241034,DC Fast Charger,160.4,0,2,4,6,Electrify America,"CCS1, CHAdeMO, NACS",$0.10/min DC; $0.03/min AC,24 hours daily,2020-07-09,6.0,69.6,Convention Center,Open
100024,ChargePoint - Los Angeles Workplace #3070,4744 Broadway,Los Angeles,CA,69513,US,33.986255,-118.297689,Level 2,11.0,0,4,0,4,ChargePoint,J1772,Free,Mon-Fri: 6am-10pm,2022-12-15,3.5,87.8,Workplace,Open
100025,Blink - Los Angeles Community Center #4060,2145 Highway 1,Los Angeles,CA,90013,US,34.033402,-118.236264,Level 2,7.2,0,2,0,2,Blink,"J1772, NACS",$0.10/kWh,Mon-Sun: 7am-11pm,2022-01-19,4.4,91.8,Community Center,Open
100026,Electrify America - Los Angeles Car Dealership #8137,7519 Market St,Los Angeles,CA,38968,US,34.142946,-118.216075,DC Fast Charger,149.7,0,4,6,10,Electrify America,"CCS1, NACS",Varies,Mon-Fri: 6am-10pm,2017-07-01,9.0,82.0,Car Dealership,Open
100027,BP Pulse - Los Angeles Library #9980,9813 Airport Rd,Los Angeles,CA,45937,US,34.025239,-118.197347,DC Fast Charger,57.8,0,0,8,8,BP Pulse,NACS,Membership required,Business hours,2024-03-19,2.3,78.9,Library,Open
100028,ChargePoint - Los Angeles Parking Garage #1755,5575 Park Blvd,Los Angeles,CA,40063,US,34.112144,-118.242802,Level 2,3.7,0,2,0,2,ChargePoint,"J1772, CCS1",$0.20/kWh,Mon-Fri: 6am-10pm,2019-09-03,6.8,94.1,Parking Garage,Open
100029,Volta - Los Angeles Grocery Store #5902,4241 Broadway,Los Angeles,CA,11680,US,34.102994,-118.302915,Level 2,11.0,0,4,0,4,Volta,"J1772, CCS1",Network pricing,24 hours,2023-06-21,3.0,96.8,Grocery Store,Open
100030,EVCS - Los Angeles Highway Rest Stop #6010,7287 Main St,Los Angeles,CA,29040,US,34.140406,-118.282093,Level 2,7.2,0,4,0,4,EVCS,"J1772, NACS",$0.10/kWh,Mon-Fri: 6am-10pm,2019-05-07,7.2,94.0,Highway Rest Stop,Open
100031,Blink - Los Angeles Community Center #9518,1383 Broadway,Los Angeles,CA,95691,US,34.065258,-118.317993,Level 2,7.2,1,4,0,5,Blink,"J1772, CCS1",$0.30/kWh,Business hours,2021-09-07,4.8,81.3,Community Center,Open
100032,ChargePoint - Los Angeles Hospital #4516,6859 Tech Drive,Los Angeles,CA,41389,US,34.075396,-118.209495,Level 2,3.7,0,8,0,8,ChargePoint,"J1772, NACS",$0.20/kWh,Daily: 6am-midnight,2024-08-28,1.8,75.0,Hospital,Open
100033,ChargePoint - Los Angeles Gas Station #1333,5781 Airport Rd,Los Angeles,CA,26077,US,33.932856,-118.244074,Level 2,7.2,0,4,0,4,ChargePoint,J1772,$0.15/kWh,Daily: 6am-midnight,2023-07-06,3.0,69.2,Gas Station,Open
100034,Shell Recharge - Los Angeles Transit Station #8587,3994 Central Ave,Los Angeles,CA,32677,US,34.024854,-118.219955,Level 2,22.0,0,16,0,16,Shell Recharge,"J1772, CCS1",Network pricing,24 hours daily,2019-06-30,7.0,84.7,Transit Station,Open
100035,Independent - Los Angeles Highway Rest Stop #9312,9546 Business Park Rd,Los Angeles,CA,92212,US,33.975627,-118.14757,Level 2,7.2,1,6,0,7,Independent,"J1772, NACS",$0.10/kWh,24 hours,2022-03-05,4.3,78.2,Highway Rest Stop,Open
100036,Independent - Los Angeles Hotel #2388,8016 Tech Drive,Los Angeles,CA,83245,US,34.044915,-118.258857,Level 2,7.2,0,6,0,6,Independent,"J1772, NACS",$0.40/kWh,6:00am-10:00pm daily,2021-09-11,4.8,95.7,Hotel,Open
100037,EVgo - Los Angeles Airport #2568,1472 Industrial Way,Los Angeles,CA,62248,US,34.006721,-118.193315,DC Fast Charger,88.7,0,0,4,4,EVgo,"CCS2, CHAdeMO",$0.20/kWh,6:00am-10:00pm daily,2018-09-12,7.8,70.7,Airport,Open
100038,Electrify America - Los Angeles Workplace #745,1873 University Ave,Los Angeles,CA,28372,US,34.132027,-118.308214,DC Fast Charger,137.1,0,0,6,6,Electrify America,"CCS1, CHAdeMO",$0.10/kWh,Daily: 6am-midnight,2024-02-11,2.4,85.4,Workplace,Open
100039,ChargePoint - Los Angeles Mall #470,1368 Central Ave,Los Angeles,CA,77651,US,34.026782,-118.197088,Level 2,7.2,1,4,0,5,ChargePoint,"J1772, NACS",$0.20/kWh,Mon-Sun: 7am-11pm,2024-10-21,1.7,67.3,Mall,Open
100040,BP Pulse - Los Angeles Sports Arena #4042,6612 Park Blvd,Los Angeles,CA,56384,US,34.076962,-118.283566,DC Fast Charger,52.4,0,2,6,8,BP Pulse,"CCS1, CHAdeMO",Membership required,Mon-Fri: 6am-10pm,2019-06-02,7.1,95.7,Sports Arena,Open
100041,Blink - Los Angeles Community Center #3532,912 Tech Drive,Los Angeles,CA,17823,US,34.064648,-118.193899,Level 2,7.2,0,6,0,6,Blink,J1772,$0.30/kWh,24 hours,2020-01-27,6.4,90.1,Community Center,Open
100042,Electrify America - Los Angeles Sports Arena #6020,993 Shopping Center Blvd,Los Angeles,CA,14918,US,34.007279,-118.216933,DC Fast Charger,179.9,0,0,6,6,Electrify America,"CCS1, NACS",Network pricing,6:00am-10:00pm daily,2022-01-22,4.4,90.3,Sports Arena,Open
100043,Blink - Los Angeles Outlet Center #1618,9243 University Ave,Los Angeles,CA,97481,US,34.106305,-118.239072,Level 2,22.0,1,6,0,7,Blink,"J1772, NACS",Membership pricing,24 hours daily,2021-02-19,5.4,82.5,Outlet Center,Open
100044,Tesla Supercharger - Los Angeles Gas Station #9832,1411 Commerce Dr,Los Angeles,CA,41022,US,34.020428,-118.2141,DC Fast Charger,270.0,0,2,2,4,Tesla Supercharger,"CCS1, NACS",$0.25-0.50/kWh (Tesla vehicles),Business hours,2024-05-23,2.1,72.1,Gas Station,Open
100045,Tesla Supercharger - Los Angeles Parking Garage #3097,8605 Commerce Dr,Los Angeles,CA,90372,US,34.02928,-118.123784,DC Fast Charger,249.1,0,0,1,1,Tesla Supercharger,"CCS2, CHAdeMO",$0.25-0.50/kWh (Tesla vehicles),24 hours,2019-09-13,6.8,73.6,Parking Garage,Open
100046,EVgo - Los Angeles Outlet Center #974,8334 Main St,Los Angeles,CA,80571,US,34.002002,-118.227439,DC Fast Charger,95.2,0,0,4,4,EVgo,"CCS1, CHAdeMO",$0.25/kWh,Mon-Sun: 7am-11pm,2018-04-28,8.2,93.8,Outlet Center,Open
100047,SemaConnect - Los Angeles Outlet Center #717,7961 Airport Rd,Los Angeles,CA,70814,US,34.122172,-118.266071,Level 2,11.0,0,8,0,8,SemaConnect,"J1772, NACS",Membership required,Daily: 6am-midnight,2018-03-26,8.3,73.3,Outlet Center,Open
100048,EVgo - Los Angeles Supermarket #6452,457 Central Ave,Los Angeles,CA,68283,US,33.990835,-118.298865,DC Fast Charger,91.8,0,0,2,2,EVgo,"CCS1, NACS",$0.10/kWh,24 hours,2021-01-12,5.5,94.8,Supermarket,Open
100049,Independent - Los Angeles University #3421,3722 Airport Rd,Los Angeles,CA,93663,US,34.009807,-118.270979,Level 2,7.2,0,16,0,16,Independent,J1772,$0.15/kWh,Mon-Sun: 7am-11pm,2017-05-19,9.1,98.7,University,Open
100050,ChargePoint - Los Angeles Mall #854,7462 Main St,Los Angeles,CA,32344,US,34.056561,-118.238507,Level 2,11.0,0,4,0,4,ChargePoint,"J1772, CCS1",$0.25/kWh,6:00am-10:00pm daily,2023-09-10,2.8,83.5,Mall,Open
100051,Independent - Los Angeles Hotel #5370,9209 Highway 1,Los Angeles,CA,65832,US,34.086697,-118.22017,Level 2,7.2,2,10,0,12,Independent,"J1772, NACS",Membership required,Mon-Fri: 6am-10pm,2024-10-21,1.7,84.7,Hotel,Open
100052,ChargePoint - Los Angeles Hotel #610,7501 Broadway,Los Angeles,CA,89955,US,33.971675,-118.187292,Level 2,7.2,0,8,0,8,ChargePoint,"J1772, NACS",$0.30/kWh,24 hours daily,2021-03-10,5.3,69.7,Hotel,Open
100053,ChargePoint - Los Angeles Gas Station #486,9532 Main St,Los Angeles,CA,34966,US,34.016953,-118.325308,Level 2,3.7,0,1,0,1,ChargePoint,"J1772, NACS",Membership pricing,Business hours,2023-08-18,2.9,68.0,Gas Station,Open
100054,ChargePoint - Los Angeles Hotel #821,7825 Broadway,Los Angeles,CA,24468,US,34.072264,-118.250949,Level 2,3.7,0,10,0,10,ChargePoint,J1772,$0.15/kWh,Daily: 6am-midnight,2021-11-28,4.6,90.1,Hotel,Open
100055,ChargePoint - Los Angeles Community Center #4287,6189 Market St,Los Angeles,CA,38605,US,34.021209,-118.268929,Level 2,7.2,0,8,0,8,ChargePoint,"J1772, CCS1",$0.20/kWh,Daily: 6am-midnight,2022-06-11,4.1,41.4,Community Center,Open
100056,Osprey - Los Angeles Sports Arena #6757,8560 Broadway,Los Angeles,CA,43001,US,34.098132,-118.244733,DC Fast Charger,47.4,0,0,4,4,Osprey,"CCS1, NACS",$0.25/kWh,Mon-Fri: 6am-10pm,2019-09-30,6.8,87.3,Sports Arena,Open
100057,Independent - Los Angeles Car Dealership #9473,6363 Highway 1,Los Angeles,CA,28609,US,34.043558,-118.232823,Level 2,22.0,0,2,0,2,Independent,"J1772, NACS",$0.15/kWh,24/7,2018-04-13,8.2,68.4,Car Dealership,Open
100058,Shell Recharge - Los Angeles Gas Station #7136,6446 Business Park Rd,Los Angeles,CA,69107,US,33.986863,-118.239637,Level 2,7.2,0,4,0,4,Shell Recharge,"J1772, NACS",$0.15/kWh,Mon-Sun: 7am-11pm,2024-06-15,2.0,65.7,Gas Station,Open
100059,Tesla Supercharger - Los Angeles Library #3777,5963 Central Ave,Los Angeles,CA,58904,US,34.039834,-118.203135,DC Fast Charger,218.5,0,2,2,4,Tesla Supercharger,"CCS1, NACS",$0.25-0.50/kWh (Tesla vehicles),24 hours daily,2018-09-02,7.8,84.6,Library,Open
100060,Tesla Supercharger - Los Angeles University #6424,420 Park Blvd,Los Angeles,CA,42217,US,34.057684,-118.148974,DC Fast Charger,295.2,0,0,1,1,Tesla Supercharger,NACS,$0.25-0.50/kWh (Tesla vehicles),6:00am-10:00pm daily,2017-02-13,9.4,77.9,University,Open
100061,Tesla Supercharger - Los Angeles Workplace #2608,7781 Tech Drive,Los Angeles,CA,87218,US,34.08171,-118.234531,DC Fast Charger,236.2,0,0,2,2,Tesla Supercharger,CCS1,$0.25-0.50/kWh (Tesla vehicles),Mon-Fri: 6am-10pm,2017-04-20,9.2,76.4,Workplace,Open
100062,Shell Recharge - Los Angeles Community Center #9783,777 Park Blvd,Los Angeles,CA,76164,US,34.020763,-118.299264,Level 2,7.2,0,2,0,2,Shell Recharge,"J1772, CCS1",$0.10/kWh,6:00am-10:00pm daily,2023-12-10,2.6,85.4,Community Center,Open
100063,EVCS - Los Angeles Supermarket #1335,4015 Tech Drive,Los Angeles,CA,99515,US,34.004599,-118.154811,Level 2,3.7,0,8,0,8,EVCS,"J1772, CCS1",$0.45/kWh,Mon-Fri: 6am-10pm,2020-10-20,5.7,93.8,Supermarket,Open
100064,Tesla Supercharger - Los Angeles Library #3084,8418 Oak Ave,Los Angeles,CA,57215,US,34.079889,-118.261738,DC Fast Charger,249.6,0,0,1,1,Tesla Supercharger,"CCS1, CHAdeMO",$0.25-0.50/kWh (Tesla vehicles),Daily: 6am-midnight,2017-02-10,9.4,85.1,Library,Open
100065,Pod Point - Los Angeles Convention Center #310,5663 Central Ave,Los Angeles,CA,36665,US,34.11629,-118.346264,Level 2,7.2,0,4,0,4,Pod Point,J1772,$0.45/kWh,Mon-Fri: 6am-10pm,2024-08-17,1.9,67.1,Convention Center,Open
100066,Blink - Los Angeles Car Dealership #646,7749 Central Ave,Los Angeles,CA,44621,US,34.00796,-118.253876,Level 2,3.7,0,16,0,16,Blink,"J1772, NACS",Free,6:00am-10:00pm daily,2023-12-13,2.6,96.0,Car Dealership,Open
100067,ChargePoint - Los Angeles Convention Center #8147,2179 Business Park Rd,Los Angeles,CA,91136,US,33.92193,-118.162411,Level 2,3.7,1,6,0,7,ChargePoint,"J1772, NACS",$0.25/kWh,24 hours,2022-06-07,4.1,89.1,Convention Center,Open
100068,ChargePoint - Los Angeles Gas Station #9113,6564 Market St,Los Angeles,CA,10323,US,34.125844,-118.268957,Level 2,11.0,0,6,0,6,ChargePoint,"J1772, CCS1",$0.15/kWh,Mon-Sun: 7am-11pm,2017-02-24,9.3,90.7,Gas Station,Open
100069,EVgo - Los Angeles Hospital #1709,3863 Broadway,Los Angeles,CA,16645,US,34.054427,-118.253214,DC Fast Charger,105.2,0,0,4,4,EVgo,"CCS1, CHAdeMO",$0.15/kWh,Daily: 6am-midnight,2022-09-15,3.8,77.4,Hospital,Open
100070,ChargePoint - Los Angeles Community Center #9931,3481 Commerce Dr,Los Angeles,CA,77378,US,34.117362,-118.19935,Level 2,7.2,1,4,0,5,ChargePoint,"J1772, CCS1",$0.10/min,Business hours,2024-05-12,2.1,95.2,Community Center,Open
100071,Blink - Los Angeles Convention Center #4221,2867 Oak Ave,Los Angeles,CA,24372,US,34.05484,-118.120707,Level 2,22.0,2,6,0,8,Blink,"J1772, CCS1",$0.30/kWh,Mon-Fri: 6am-10pm,2021-06-27,5.0,86.7,Convention Center,Open
100072,Volta - Los Angeles Hospital #6238,515 Highway 1,Los Angeles,CA,40471,US,34.004991,-118.263051,Level 2,7.2,0,6,0,6,Volta,"J1772, NACS",Free with validation,24 hours,2019-10-31,6.7,94.5,Hospital,Open
100073,ChargePoint - Los Angeles Shopping Center #2646,6842 Central Ave,Los Angeles,CA,23081,US,34.078177,-118.225037,Level 2,7.2,0,1,0,1,ChargePoint,J1772,$0.30/kWh,Business hours,2023-09-21,2.8,59.4,Shopping Center,Open
100074,Blink - Los Angeles Grocery Store #7166,9785 Airport Rd,Los Angeles,CA,24468,US,34.086786,-118.246296,Level 2,22.0,0,6,0,6,Blink,"J1772, CCS1",$0.25/kWh,6:00am-10:00pm daily,2021-08-10,4.9,67.5,Grocery Store,Open
100075,Blink - Los Angeles Shopping Center #9661,1741 Commerce Dr,Los Angeles,CA,28555,US,34.106901,-118.195674,Level 2,22.0,0,6,0,6,Blink,"J1772, CCS1",$0.10/kWh,24 hours daily,2019-10-05,6.7,83.8,Shopping Center,Open
100076,ChargePoint - Los Angeles Library #3043,2570 University Ave,Los Angeles,CA,31551,US,34.100241,-118.230481,Level 2,11.0,0,4,0,4,ChargePoint,J1772,$0.15/kWh,24 hours daily,2023-02-20,3.4,92.8,Library,Open
100077,Tesla Supercharger - Los Angeles University #1576,3766 Shopping Center Blvd,Los Angeles,CA,56016,US,34.107613,-118.273522,DC Fast Charger,288.5,0,0,8,8,Tesla Supercharger,NACS,$0.25-0.50/kWh (Tesla vehicles),Mon-Fri: 6am-10pm,2018-07-16,8.0,79.0,University,Open
100078,ChargePoint - Los Angeles Outlet Center #1566,8946 Commerce Dr,Los Angeles,CA,13357,US,34.132422,-118.221585,Level 2,7.2,0,1,0,1,ChargePoint,J1772,$0.15/kWh,Business hours,2022-10-15,3.7,66.1,Outlet Center,Open
100079,EVgo - Los Angeles Community Center #3056,9372 Shopping Center Blvd,Los Angeles,CA,11078,US,34.084848,-118.316033,DC Fast Charger,83.9,0,2,6,8,EVgo,"CCS1, NACS",$0.20/kWh,Daily: 6am-midnight,2021-06-09,5.1,91.3,Community Center,Open
100080,Blink - Los Angeles Park & Ride #944,5664 Main St,Los Angeles,CA,92314,US,33.981448,-118.307009,Level 2,7.2,1,10,0,11,Blink,J1772,$0.25/kWh,Mon-Fri: 6am-10pm,2021-11-16,4.6,77.6,Park & Ride,Open
100081,ChargePoint - Los Angeles University #6179,9658 Oak Ave,Los Angeles,CA,99639,US,34.123541,-118.262046,Level 2,3.7,2,6,0,8,ChargePoint,"J1772, CCS1",$0.15/kWh,Mon-Sun: 7am-11pm,2018-10-30,7.7,88.2,University,Open
100082,ChargePoint - Los Angeles Highway Rest Stop #1263,4165 Broadway,Los Angeles,CA,69027,US,34.008087,-118.23464,Level 2,11.0,0,6,0,6,ChargePoint,"J1772, CCS1",Free,Mon-Sun: 7am-11pm,2017-07-13,9.0,89.9,Highway Rest Stop,Open
100083,Electrify America - Los Angeles University #706,4581 Park Blvd,Los Angeles,CA,67551,US,33.92667,-118.108725,DC Fast Charger,157.2,0,0,2,2,Electrify America,"CCS1, CHAdeMO",Free,6:00am-10:00pm daily,2020-01-29,6.4,81.4,University,Open
100084,Tesla Supercharger - Los Angeles Car Dealership #8612,5131 Broadway,Los Angeles,CA,25582,US,34.13417,-118.246729,DC Fast Charger,255.3,0,0,2,2,Tesla Supercharger,"CCS1, CHAdeMO",$0.25-0.50/kWh (Tesla vehicles),Mon-Sun: 7am-11pm,2021-10-13,4.7,70.4,Car Dealership,Open
100085,ChargePoint - Los Angeles Grocery Store #2082,8591 Shopping Center Blvd,Los Angeles,CA,89886,US,34.040894,-118.215054,Level 2,7.2,1,10,0,11,ChargePoint,J1772,$0.10/kWh,24/7,2023-03-17,3.3,91.9,Grocery Store,Open
100086,SemaConnect - Los Angeles Parking Garage #1985,5539 Tech Drive,Los Angeles,CA,22549,US,34.073742,-118.226991,Level 2,11.0,0,4,0,4,SemaConnect,"J1772, CCS1",$0.30/kWh,6:00am-10:00pm daily,2020-07-17,6.0,84.1,Parking Garage,Open
100087,ChargePoint - Los Angeles Grocery Store #9724,8031 Commerce Dr,Los Angeles,CA,95671,US,34.047646,-118.211934,Level 2,7.2,0,6,0,6,ChargePoint,"J1772, NACS",$0.10/min,24 hours daily,2019-06-26,7.0,80.4,Grocery Store,Open
100088,EVgo - Los Angeles Hotel #6400,8277 Airport Rd,Los Angeles,CA,93162,US,34.064039,-118.262812,DC Fast Charger,115.7,0,0,6,6,EVgo,NACS,$0.10/min,24 hours daily,2018-09-14,7.8,79.5,Hotel,Open
100089,Electrify America - Los Angeles Grocery Store #4118,8107 Business Park Rd,Los Angeles,CA,79646,US,34.023434,-118.189859,DC Fast Charger,140.7,0,4,4,8,Electrify America,NACS,Varies,24/7,2024-12-08,1.6,62.1,Grocery Store,Open
100090,Blink - Los Angeles Workplace #9038,8939 Main St,Los Angeles,CA,64074,US,34.055857,-118.247108,Level 2,7.2,0,8,0,8,Blink,"J1772, NACS",$0.10/kWh,Business hours,2017-09-04,8.8,71.6,Workplace,Open
100091,EVgo - Los Angeles Convention Center #2028,1068 University Ave,Los Angeles,CA,17818,US,34.012831,-118.267233,DC Fast Charger,82.7,0,0,6,6,EVgo,"CCS2, CHAdeMO",$0.30/kWh,24/7,2020-06-08,6.1,90.9,Convention Center,Open
100092,Tesla Supercharger - Los Angeles Highway Rest Stop #1182,7799 Shopping Center Blvd,Los Angeles,CA,94099,US,34.043053,-118.255716,DC Fast Charger,214.3,0,0,6,6,Tesla Supercharger,"CCS2, CHAdeMO",$0.25-0.50/kWh (Tesla vehicles),Mon-Sun: 7am-11pm,2020-08-15,5.9,92.3,Highway Rest Stop,Open
100093,ChargePoint - Los Angeles Airport #1905,5038 Business Park Rd,Los Angeles,CA,88046,US,34.069135,-118.23545,Level 2,7.2,0,6,0,6,ChargePoint,"J1772, CCS1",$0.30/kWh,Business hours,2017-10-18,8.7,92.7,Airport,Open
100094,Blink - Los Angeles Sports Arena #6755,5228 Market St,Los Angeles,CA,44427,US,34.047394,-118.256599,Level 2,7.2,1,6,0,7,Blink,"J1772, CCS1",$0.20/kWh,24/7,2024-10-19,1.7,94.3,Sports Arena,Open
100095,ChargePoint - Los Angeles Transit Station #7614,9954 Business Park Rd,Los Angeles,CA,68736,US,34.043053,-118.191689,Level 2,11.0,1,10,0,11,ChargePoint,"J1772, CCS1",Free,Daily: 6am-midnight,2020-03-16,6.3,70.1,Transit Station,Open
100096,Independent - Los Angeles Shopping Center #8514,1422 Broadway,Los Angeles,CA,73087,US,34.047784,-118.151422,Level 2,11.0,0,10,0,10,Independent,"J1772, NACS",Network pricing,24 hours,2017-08-04,8.9,63.9,Shopping Center,Open
100097,Blink - Los Angeles Hotel #5322,2822 Airport Rd,Los Angeles,CA,22339,US,34.107612,-118.294488,Level 2,11.0,0,6,0,6,Blink,"J1772, NACS",$0.10/kWh,Mon-Sun: 7am-11pm,2022-12-25,3.5,91.0,Hotel,Open
100098,Electrify America - Los Angeles Car Dealership #3378,7981 Main St,Los Angeles,CA,83534,US,34.000424,-118.133494,DC Fast Charger,143.7,0,0,1,1,Electrify America,NACS,$0.15/kWh,24 hours,2020-10-23,5.7,85.9,Car Dealership,Open
